PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-17,09:07:58.43,1,1,"Baum, Ryan",809938,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.7549,-0.521369,-1.106649,1973.49417,121.990179,10:00,6.10755,1.54064,5.9636,-40.76896,3.77264,-3.99465,2.22658,0.18148,73.02227,-8.019327,-1.825507,0.480346,,,,,,,,,,,,1.77469,2.46366,-1.45061,50,6.04328,2.35703,-114.52816,-2.29789,2.37481,19.6654,-28.87724,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,199d1be0-cdb7-11ee-9583-c7c51c6117fc,78.46933,,,5.73263,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:07:58.43,2024-02-17T09:07:58.4314904-08:00,2024-02-17T17:07:58.4314904Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2ed6275a-836e-4d11-87c4-1c831d4c5c44,54.53821,-115.30477,9.8327,6.11151,-1.15749,-14.43862,-1.54184,2.26324,1.1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-17,09:08:13.45,1,2,"Baum, Ryan",809938,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.87862,-1.443151,-4.361671,1926.104546,231.576237,1:45,6.09845,1.39528,6.95086,-21.99761,12.83154,14.78832,2.94791,-1.34929,80.45201,-5.644105,-1.663268,0.424759,,,,,,,,,,,,-9.03115,7.57111,-1.12784,50,6.00071,9.18952,-127.5201,-3.78016,-14.8875,25.94975,-19.69339,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,227ef940-cdb7-11ee-9583-c7c51c6117fc,88.73838,,,7.42661,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:08:13.45,2024-02-17T09:08:13.4542360-08:00,2024-02-17T17:08:13.4542360Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8a6c24d8-0d6c-4eb3-9827-fe8d92137f12,53.54952,-128.24037,12.97488,6.09805,-3.23354,-9.8467,-1.38865,9.60275,-7.44375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-17,09:08:29.96,1,3,"Baum, Ryan",809938,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.15751,-2.834631,-1.954411,2065.50411,91.063709,9:00,6.08565,1.47331,6.0111,-39.65935,1.18862,-3.51784,0.15095,-0.63117,76.76451,-10.061117,-2.588628,0.459999,,,,,,,,,,,,1.34614,1.61819,-1.31786,50,5.84076,4.20098,-119.36161,-7.17943,1.96225,20.73726,-29.81525,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,2c628f30-cdb7-11ee-9583-c7c51c6117fc,81.9403,,,5.39301,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:08:29.96,2024-02-17T09:08:29.9653656-08:00,2024-02-17T17:08:29.9653656Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a6cc3bb9-796b-4235-a4f4-136e6479e807,54.49247,-120.13957,10.36863,6.08912,-6.06091,-14.90763,-1.47408,4.12737,0.98113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-17,09:08:48.78,1,4,"Baum, Ryan",809938,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,2,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.50487,-1.161966,-2.481493,1538.653453,252.914819,2:30,6.08035,1.42507,6.66985,-34.86419,6.12575,15.57977,2.11073,0.45156,74.61596,-7.703697,0.358025,0.460797,,,,,,,,,,,,-8.99296,3.95516,-1.26457,50,5.98849,4.60394,-118.44585,-3.35966,-12.70512,23.78972,-26.58625,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,37982090-cdb7-11ee-9583-c7c51c6117fc,81.79827,,,6.88891,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:08:48.78,2024-02-17T09:08:48.7848984-08:00,2024-02-17T17:08:48.7848984Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,eef9ace0-ac8b-43f2-aa09-3f04726ae3d9,53.83203,-119.21302,11.89486,6.08301,-2.5023,-13.29313,-1.41965,5.01366,-6.35256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-17,09:09:09.87,1,5,"Baum, Ryan",809938,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Double,0,0,,81.52274,-0.869085,-0.727047,2125.730944,137.885852,10:30,6.06062,1.59519,5.72215,-39.15667,3.16169,-1.6528,1.98791,0.7802,74.91076,-8.057505,-1.023262,0.468205,88.97897,7.51261,-38.483787,2580.048178,,,,105.31744,104.57592,-42.202632,0.902426,0.63949,2.23701,-1.53341,50,5.96373,1.56685,-118.41265,-3.09114,0.90639,22.97581,-29.00336,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,4426b240-cdb7-11ee-9583-c7c51c6117fc,80.50416,5.3205,,6.61198,,,,1.49056,2.11586,-0.78849,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:09:09.87,2024-02-17T09:09:09.8741784-08:00,2024-02-17T17:09:09.8741784Z,GroundBall,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3135271f-c2da-49d9-9403-0e99bb7da7d5,54.77891,-119.33631,11.48791,6.06456,-1.92516,-14.50168,-1.59566,1.53042,0.4532,,1.49056,101.27825,-21.57083,4.43335,-0.9966,0.19685,-0.04055,0.00768,-0.00088,2.11586,17.06244,-23.72532,2.93535,-0.63052,0.13571,-0.02741,0.00533,-0.00065,-0.78849,-80.51358,2.45464,1.33571,-0.55726,0.18111,-0.04707,0.01047,-0.00136,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-02-17,09:10:17.07,2,1,"Baum, Ryan",809938,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.29186,-0.261352,-1.681267,2094.765648,121.251297,10:00,6.09504,1.6594,6.0387,-40.55782,3.15811,-3.20335,2.47312,-0.16476,73.66812,-7.725056,-2.258149,0.475873,,,,,,,,,,,,1.23665,2.07146,-1.52648,50,6.05259,3.50065,-115.32791,-1.77203,1.68272,19.3745,-29.35535,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,6c369610-cdb7-11ee-9583-c7c51c6117fc,79.20689,,,5.62374,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:10:17.07,2024-02-17T09:10:17.0742296-08:00,2024-02-17T17:10:17.0742296Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,6dcdcb96-7a5d-46d0-a04b-1daefebcb75c,54.46341,-116.07532,9.68725,6.09911,-0.63959,-14.67768,-1.66027,3.43574,0.84136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-17,09:10:39.57,2,2,"Baum, Ryan",809938,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.28919,-0.840733,-2.082083,1967.527988,236.696091,2:00,5.94911,1.40082,6.62401,-24.58525,10.8352,14.90127,3.12989,0.73512,80.3861,-5.481322,0.629468,0.42835,55.34152,7.449422,-25.861747,7420.38616,,,,64.36903,61.73014,-26.929339,0.836654,-8.45138,6.24945,-1.26549,50,5.88178,4.07902,-126.99643,-2.55788,-13.87642,24.69995,-21.91302,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,799c9c00-cdb7-11ee-9583-c7c51c6117fc,87.99454,4.66745,,6.90308,,,,1.65128,3.10689,-0.7146,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:10:39.57,2024-02-17T09:10:39.5725848-08:00,2024-02-17T17:10:39.5725848Z,GroundBall,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,f18b7026-a03e-44d2-9a16-585555c79ac9,53.87873,-127.7486,12.34998,5.94951,-1.89058,-10.95651,-1.39614,4.50158,-6.93821,72.482119,1.65128,72.42199,-8.00218,1.59991,-0.42318,0.0482,-0.00865,0.00336,-0.00056,3.10689,10.52344,-18.14628,1.5191,-0.23977,0.048,-0.00288,0.00018,-0.00042,-0.7146,-35.10649,1.04482,0.51529,-0.25092,0.06886,-0.01437,0.00331,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-02-17,09:11:24.89,3,1,"Baum, Ryan",809938,Right,CAL_MUS,"Curry, Thomas",1000115808,Right,MIZ_TIG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.81081,-1.921052,-2.927829,1896.143338,210.22503,1:00,6.00243,1.46827,6.76261,-20.50639,14.40702,7.78229,2.53609,-0.55956,80.82853,-5.822848,-1.509899,0.425273,,,,,,,,,,,,-4.88902,8.46197,-1.27931,50,5.86847,6.24293,-127.59456,-4.81845,-8.10299,24.9381,-18.14938,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,94a14410-cdb7-11ee-9583-c7c51c6117fc,88.63123,,,6.98229,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:11:24.89,2024-02-17T09:11:24.8930328-08:00,2024-02-17T17:11:24.8930328Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,0c70f0d4-665b-4afa-afda-fd2652826d5c,53.73827,-128.32312,12.46905,6.00149,-4.28822,-9.07469,-1.46516,6.47965,-4.05149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-17,09:11:45.74,3,2,"Baum, Ryan",809938,Right,CAL_MUS,"Curry, Thomas",1000115808,Right,MIZ_TIG,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.45812,-1.58055,-2.050384,2118.603899,103.191639,9:30,6.10643,1.42917,6.06091,-38.08463,2.61744,-6.00796,1.46851,-0.97006,76.28039,-8.580862,-3.132902,0.459176,,,,,,,,,,,,2.57067,2.11162,-1.26667,50,5.96304,4.5108,-119.8077,-4.51168,3.74668,22.5522,-29.09645,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,a1163340-cdb7-11ee-9583-c7c51c6117fc,82.08706,,,6.17773,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:11:45.74,2024-02-17T09:11:45.7474584-08:00,2024-02-17T17:11:45.7474584Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ef5a3599-e3d1-4c18-9898-62571d609bbd,54.44153,-120.64086,11.2761,6.10986,-3.43675,-14.54823,-1.43076,4.37239,1.87334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-17,09:12:09.32,3,3,"Baum, Ryan",809938,Right,CAL_MUS,"Curry, Thomas",1000115808,Right,MIZ_TIG,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.07038,-1.002108,-2.471104,2086.408493,104.389265,9:30,6.03199,1.54329,6.08799,-38.96116,3.18567,-7.46111,1.85723,-1.36587,74.83392,-8.179508,-3.814682,0.467255,,,,,,,,,,,,3.18303,2.30469,-1.34863,50,5.93399,5.35611,-117.7555,-3.26992,4.47416,22.13323,-28.93449,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240217-BaggettStadium-1,af248720-cdb7-11ee-9583-c7c51c6117fc,80.66781,,,6.23646,,,,,,,c3e4ceb9-b0ea-430c-8f4e-fa22532783ab,2024-02-17,17:12:09.32,2024-02-17T09:12:09.3288472-08:00,2024-02-17T17:12:09.3288472Z,,v3,471251,4806,17 February 2024 12:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b170b2af-d1dd-4217-b82b-7a896d74d9a5,54.41347,-118.58215,11.06661,6.03593,-2.18925,-14.46725,-1.54555,5.18901,2.23708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
