PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-13,17:04:59.55,1,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Panaro, Santino",1000119219,Left,UNL_REB,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.62579,-0.831702,3.634084,1927.949103,99.851803,9:15,5.88159,-2.12064,5.45494,-34.36435,4.79233,-19.80871,2.23769,-0.36478,77.79787,-7.148157,0.110983,0.450375,,,,,,,,,,,,11.1217,3.0413,1.81395,50,5.78452,-7.03357,-124.02272,-3.03115,17.16846,26.86474,-27.47923,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,7fdf7900-e196-11ee-86c7-4bf09a17cfaa,83.69124,,,7.82792,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:04:59.55,2024-03-13T17:04:59.5517250-07:00,2024-03-14T00:04:59.5517250Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,aec1cd69-f957-4072-980f-073e2cdc8c05,55.04669,-125.11111,13.43237,5.88477,-1.91786,-13.73961,2.113,-7.72913,8.58423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-13,17:05:16.68,1,2,"Downs, Chris",1000279237,Left,CAL_MUS,"Panaro, Santino",1000119219,Left,UNL_REB,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.14023,-2.799419,3.967162,1880.442849,104.778189,9:30,5.62679,-2.3468,5.71553,-36.42931,3.69713,-8.97985,-0.02525,0.60657,77.16323,-9.460289,2.362246,0.455918,,,,,,,,,,,,5.82827,3.01185,2.02037,50,5.36895,-8.09913,-121.79678,-7.19247,8.70293,25.24771,-27.67667,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,8a45fa90-e196-11ee-86c7-4bf09a17cfaa,82.67375,,,6.977,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:05:16.68,2024-03-13T17:05:16.6801730-07:00,2024-03-14T00:05:16.6801730Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,2900b8ed-001a-42f2-a01a-f8b276661ddd,54.78755,-122.7852,12.62386,5.62932,-6.10896,-13.83834,2.34411,-8.43984,4.35147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-13,17:05:30.95,1,3,"Downs, Chris",1000279237,Left,CAL_MUS,"Panaro, Santino",1000119219,Left,UNL_REB,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.48972,-1.415983,3.134647,2244.189413,118.617262,10:00,5.9155,-1.90419,5.61046,-25.11123,11.88827,-19.11135,2.49893,-0.56791,79.06608,-6.131784,-0.274442,0.437793,,,,,,,,,,,,10.78508,6.92201,1.64871,50,5.77845,-6.16717,-127.99936,-4.01101,17.44753,32.54821,-20.97603,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,928e7e20-e196-11ee-86c7-4bf09a17cfaa,86.0964,,,9.42364,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:05:30.95,2024-03-13T17:05:30.9587266-07:00,2024-03-14T00:05:30.9587266Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,00df0987-9342-44d0-a1dc-0092b67ebc26,54.88793,-129.23631,16.27411,5.91574,-3.21385,-10.48802,1.89569,-6.83023,8.72376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-13,17:06:06.33,2,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Hefft, Jason",1000124474,Right,UNL_REB,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.09494,0.051202,1.945288,1947.414303,127.865741,10:15,5.70831,-2.04919,5.61424,-29.24076,9.95819,-10.76776,3.3194,-1.13015,76.54142,-5.434536,0.023185,0.450618,,,,,,,,,,,,6.09481,5.48004,1.88981,50,5.69445,-3.75242,-124.55342,-0.87033,9.29614,31.78895,-23.81559,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,a7badf50-e196-11ee-86c7-4bf09a17cfaa,83.64604,,,9.55352,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:06:06.33,2024-03-13T17:06:06.3315778-07:00,2024-03-14T00:06:06.3315778Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,3f4ba7e7-1b19-4b71-abf5-0d08c9eba419,54.87998,-125.79274,15.89447,5.71028,0.05814,-11.9078,2.04317,-4.11484,4.64807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-13,17:06:21.40,2,2,"Downs, Chris",1000279237,Left,CAL_MUS,"Hefft, Jason",1000124474,Right,UNL_REB,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.88482,-1.604931,4.743292,2098.339327,116.02875,9:45,5.90977,-1.93814,5.4849,-28.64848,10.46796,-18.55095,2.01524,0.96402,77.70447,-6.914716,1.450972,0.450143,,,,,,,,,,,,10.8102,6.18118,1.53431,50,5.74938,-9.49756,-124.1233,-4.47178,16.67722,27.4232,-22.63812,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,b0a40fb0-e196-11ee-86c7-4bf09a17cfaa,83.73428,,,8.18035,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:06:21.40,2024-03-13T17:06:21.4078274-07:00,2024-03-14T00:06:21.4078274Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,6e2e12a9-6469-41d7-bd78-42687e6740e6,55.01484,-125.22635,13.7116,5.91093,-3.5612,-11.31906,1.92983,-10.16838,8.33861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-13,17:06:37.44,2,3,"Downs, Chris",1000279237,Left,CAL_MUS,"Hefft, Jason",1000124474,Right,UNL_REB,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.7332,-1.861854,3.870827,2019.872409,92.499181,9:00,5.64681,-2.08324,5.67561,-38.25762,2.14024,-12.44544,0.71831,0.49387,76.02184,-8.912566,1.64768,0.457457,,,,,,,,,,,,7.73493,2.17343,1.76437,50,5.46546,-7.77069,-122.45205,-5.30813,11.42754,30.25599,-28.96305,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,ba391070-e196-11ee-86c7-4bf09a17cfaa,82.39554,,,8.71136,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:06:37.44,2024-03-13T17:06:37.4481730-07:00,2024-03-14T00:06:37.4481730Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,87769f8d-4e8a-4c21-8ffa-694ccb91c68c,54.82343,-123.6381,15.128,5.65129,-4.17276,-14.48153,2.07777,-8.21865,5.71377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-13,17:06:51.74,2,4,"Downs, Chris",1000279237,Left,CAL_MUS,"Hefft, Jason",1000124474,Right,UNL_REB,Undefined,1,Top,1,2,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,88.51958,-1.534195,4.30162,2221.308387,103.742074,9:30,6.12124,-1.78462,5.64621,-29.92049,6.93516,-22.57615,2.19238,0.35415,79.46663,-7.092345,0.276253,0.436942,104.1824,2.451998,-18.813726,1941.765232,,,,89.82121,82.99918,-19.459564,0.632784,12.93607,4.42488,1.43382,50,5.97181,-8.64256,-127.96907,-4.48729,21.00692,31.50765,-24.98844,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,c2c49070-e196-11ee-86c7-4bf09a17cfaa,86.26424,2.74588,,9.05295,,,,1.60866,2.0848,-0.16087,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:06:51.74,2024-03-13T17:06:51.7403458-07:00,2024-03-14T00:06:51.7403458Z,GroundBall,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,7bd84ec6-ae56-426b-8eb0-2f1975539ef0,54.85409,-129.15868,15.75383,6.12342,-3.54382,-12.49422,1.7751,-9.4357,10.50346,98.914632,1.65283,143.55914,-19.59292,,,,,,,2.09981,6.21736,-15.10508,,,,,,,-0.16442,-49.15734,3.37308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-13,17:07:30.12,3,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Rodriguez, Isaac",1000114471,Right,UNL_REB,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.68366,-0.594601,2.463713,2090.809546,105.836022,9:30,6.01036,-2.06555,5.48061,-30.73293,7.53658,-21.74974,2.89239,-1.57133,78.35521,-6.282675,-1.410625,0.445244,,,,,,,,,,,,11.70178,4.39091,1.86434,50,5.93755,-4.44779,-125.61859,-2.39429,18.44483,28.66382,-25.25292,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,d999e6b0-e196-11ee-86c7-4bf09a17cfaa,84.65576,,,8.32845,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:07:30.12,2024-03-13T17:07:30.1274434-07:00,2024-03-14T00:07:30.1274434Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,3411598b-3af9-469e-b33c-bb9602255f1a,55.01924,-126.75871,14.33191,6.01281,-1.38984,-12.62646,2.05585,-5.18144,9.22242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-13,17:07:43.44,3,2,"Downs, Chris",1000279237,Left,CAL_MUS,"Rodriguez, Isaac",1000114471,Right,UNL_REB,Undefined,1,Top,2,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,86.82529,-1.768599,3.670259,2185.606302,112.120792,9:45,5.95836,-1.98996,5.64137,-28.8486,9.45508,-19.63088,1.90049,-0.19724,77.95021,-7.14351,0.167465,0.445443,95.71435,26.963529,4.893437,3590.620111,108.89098,49.4291,15.5787,359.73234,354.39808,13.602253,4.507414,11.21205,5.80898,1.69068,50,5.78968,-7.21176,-125.56422,-4.86159,17.51875,30.47571,-23.09759,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,e1947150-e196-11ee-86c7-4bf09a17cfaa,84.61792,66.14245,,8.87508,,,,1.6814,1.83785,0.17406,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:07:43.44,2024-03-13T17:07:43.4404674-07:00,2024-03-14T00:07:43.4404674Z,FlyBall,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,dc219026-14b3-4bb5-940c-21e1fbbea2c5,54.85782,-126.73778,15.23786,5.95977,-3.97215,-11.54879,1.98137,-7.88637,8.75938,218.351878,1.68358,124.61633,-22.86794,5.27589,-0.91548,0.10019,-0.00954,0.00185,-0.00018,1.83832,63.63454,-16.79635,0.09395,0.52548,-0.28476,0.08534,-0.01289,0.00075,0.17381,10.6792,6.67194,-2.82216,0.84057,-0.196,0.03569,-0.00428,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-13,17:10:04.85,1,1,"Charles, Rylan",1000039289,Left,UNL_REB,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Bottom,0,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.28833,-3.263979,2.881628,1966.797539,129.089519,10:15,6.16349,-1.61268,5.42459,-24.20974,15.67902,-17.10237,1.08156,-0.33647,76.12995,-7.834054,-0.160509,0.454566,,,,,,,,,,,,9.66158,9.64808,1.36887,50,5.85726,-5.48657,-124.37373,-7.87666,14.53667,34.09809,-17.6577,CAL_MUS,UNL_REB,BaggettStadium,D1,BW,20240313-BaggettStadium-1,35d99fb0-e197-11ee-86c7-4bf09a17cfaa,82.91965,,,10.15838,,,,,,,bc03aaed-ff41-4296-9545-5484c99b63f1,2024-03-14,00:10:04.85,2024-03-13T17:10:04.8581442-07:00,2024-03-14T00:10:04.8581442Z,,v3,471251,471376,13 March 2024 20:00-unlv@calpoly,"Gallegos, Chase",1000119210,Right,UNL_REB,86592fe9-eaf3-4713-ac0e-28dbfc6d7955,55.06892,-125.75574,17.04904,6.162,-7.16099,-8.82885,1.60319,-6.07575,7.26834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
