PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,18:07:44.60,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Neighbors, Kamau",822678,Right,CAL_MAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.27895,-2.300665,2.857505,2496.685912,155.481082,11:15,5.59202,-1.67263,6.15438,-18.0791,14.52418,-6.14429,1.95597,0.45768,84.3091,-5.723316,1.750928,0.410963,,,,,,,,,,,,4.00492,8.49197,1.45847,50,5.40754,-6.42692,-133.86526,-5.9337,7.2535,29.40675,-16.79379,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,98cf01f0-e331-11ee-b819-35488bbc96b4,91.71745,,,7.96985,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:07:44.60,2024-03-15T18:07:44.6022846-07:00,2024-03-16T01:07:44.6022846Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,721326d9-eb7c-44f6-ad5a-e6bf26c5c86f,54.34663,-134.81672,14.70337,5.59074,-5.39033,-8.3969,1.67021,-6.6616,3.62675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,18:08:13.56,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.65837,-1.567636,0.629359,2583.293279,171.392686,11:45,5.67314,-1.59756,6.24848,-14.50997,17.59245,-2.50819,3.01771,-1.2261,84.62168,-4.358337,0.176147,0.407794,,,,,,,,,,,,1.47236,9.8654,1.55192,50,5.54915,-1.37271,-134.6274,-4.07416,2.70018,29.43376,-14.08184,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,aa0b6440-e331-11ee-b819-35488bbc96b4,92.43019,,,8.03669,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:08:13.56,2024-03-15T18:08:13.5675070-07:00,2024-03-16T01:08:13.5675070Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c824938f-67aa-4e77-97a8-c609bbe66884,54.25084,-135.55358,14.71688,5.67037,-3.63105,-7.04092,1.59645,-1.45767,1.35009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,18:08:29.33,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.74701,-1.564774,2.887907,2557.086311,173.49104,11:45,5.67846,-1.465,6.04223,-15.44304,17.00225,-1.81917,2.94053,1.05956,84.5095,-4.51527,2.561212,0.409965,,,,,,,,,,,,1.7628,9.51402,1.24065,50,5.5479,-6.70739,-134.52462,-4.12554,3.22063,30.00022,-14.79194,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,b3750f40-e331-11ee-b819-35488bbc96b4,91.94056,,,8.23751,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:08:29.33,2024-03-15T18:08:29.3379774-07:00,2024-03-16T01:08:29.3379774Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ae1739c3-3537-4ce8-8e43-60c810e75c8b,54.45706,-135.51494,15.00011,5.67602,-3.63726,-7.39597,1.46382,-6.8137,1.61031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,18:08:44.83,2,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.52255,-2.113674,2.593297,2397.7178,149.284255,11:00,5.63769,-1.3349,6.01973,-16.4669,15.46694,-8.56599,2.30469,0.35505,85.23755,-5.243045,1.053965,0.406721,,,,,,,,,,,,5.15772,8.88197,1.13625,50,5.46288,-5.77247,-135.65937,-5.51489,9.58098,30.56128,-15.67496,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,bcb1b6d0-e331-11ee-b819-35488bbc96b4,92.67392,,,8.285,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:08:44.83,2024-03-15T18:08:44.8328382-07:00,2024-03-16T01:08:44.8328382Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,e9893322-9626-4ee0-a7c6-f4c2acc70ef2,54.48057,-136.66503,15.28064,5.63587,-4.99908,-7.83748,1.33138,-6.08774,4.79049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-15,18:09:04.00,2,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.94046,-4.068421,3.363048,2527.454891,168.063963,11:30,5.65128,-1.36518,5.9784,-17.5604,14.06831,-2.76799,0.4036,1.52531,86.46821,-7.350139,2.866588,0.404774,,,,,,,,,,,,2.34197,8.64434,1.10059,50,5.31878,-7.87858,-136.0409,-10.26352,4.406,28.7566,-15.91118,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,c81e84d0-e331-11ee-b819-35488bbc96b4,93.11982,,,7.47225,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:09:04.00,2024-03-15T18:09:04.0025278-07:00,2024-03-16T01:09:04.0025278Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ab123b48-3f7b-4208-952e-101cc9681c0f,54.52447,-136.99395,14.3783,5.6502,-9.73619,-7.95559,1.36412,-8.02461,2.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,18:09:25.58,2,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.81718,-2.626047,3.097219,2522.062384,152.834131,11:00,5.64295,-1.60879,6.02949,-16.98879,15.33257,-7.34304,1.78994,0.65046,85.00311,-5.837913,1.778348,0.409182,,,,,,,,,,,,4.65181,8.93827,1.37049,50,5.42799,-6.9722,-134.59693,-6.70625,8.54362,28.89178,-15.75779,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,d4fc20e0-e331-11ee-b819-35488bbc96b4,92.11664,,,7.81407,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:09:25.58,2024-03-15T18:09:25.5858366-07:00,2024-03-16T01:09:25.5858366Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,1ece12c4-6046-4939-b48a-c151e29b0c68,54.47188,-135.55344,14.44589,5.64138,-6.18456,-7.87889,1.60599,-7.25505,4.27181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,18:09:42.62,2,6,"Wright, Jakob",1000114562,Left,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.38111,-3.458483,2.758857,2603.883438,172.786269,11:45,5.59752,-1.51689,5.77573,-17.99501,14.29572,-1.67969,0.87201,0.91236,85.62576,-6.821696,2.458472,0.408988,,,,,,,,,,,,1.62827,8.57721,1.28989,50,5.3004,-6.44699,-135.29966,-8.78671,3.02009,29.35202,-16.26511,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,df1daa30-e331-11ee-b819-35488bbc96b4,92.16035,,,7.75534,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:09:42.62,2024-03-15T18:09:42.6225342-07:00,2024-03-16T01:09:42.6225342Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c2e65acf-046b-4f69-8cbb-42b87f65face,54.72607,-136.32108,14.67601,5.59632,-8.2207,-8.13256,1.51606,-6.55208,1.51004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,18:10:19.30,3,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Simons, Jakob",822557,Right,CAL_MAT,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.8287,0.450917,0.082098,3006.399449,306.965438,4:15,5.48535,-1.87686,5.45443,-56.85046,-11.96438,17.85198,1.16995,-0.31235,73.16996,-9.855452,3.270564,0.4822,,,,,,,,,,,,-8.9778,-5.73642,1.857,50,5.48594,-0.87822,-115.93594,-1.09761,-12.08824,23.84528,-39.89786,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,f5141220-e331-11ee-b819-35488bbc96b4,78.16763,,,6.65874,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:10:19.30,2024-03-15T18:10:19.3091262-07:00,2024-03-16T01:10:19.3091262Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,61bc3fe7-7b8d-43c8-bcf2-674c42ef0541,55.05014,-116.97002,11.92264,5.49602,0.63262,-19.94893,1.88372,-0.354,-6.04412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,18:10:55.61,3,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Simons, Jakob",822557,Right,CAL_MAT,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,92.98995,-2.095114,1.786563,2595.425147,171.473777,11:45,5.61536,-1.71599,6.10853,-19.57103,12.39064,-1.71106,2.04521,-0.20594,85.40602,-5.769937,1.478283,0.406898,86.24028,-51.326185,-3.523125,,,,,2.35096,2.35096,2.239508,0.020006,1.36843,7.26878,1.57964,50,5.44398,-4.14104,-135.06393,-5.57196,2.53563,28.56562,-18.70552,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,0aa80ec0-e332-11ee-b819-35488bbc96b4,92.63354,1.97934,,7.58393,,,,0.76789,1.97934,0.18922,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:10:55.61,2024-03-15T18:10:55.6165310-07:00,2024-03-16T01:10:55.6165310Z,GroundBall,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2e82563f-b251-4d11-9c82-1ec89dbd53b7,54.39275,-135.98981,14.28281,5.61476,-4.96567,-9.35276,1.7152,-4.22323,1.26782,,0.7674,79.04068,,,,,,,,1.97995,-98.93834,,,,,,,,0.18925,-4.86636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2024-03-15,18:11:40.26,4,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Barraza, Nathan",822672,Right,CAL_MAT,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.90371,-1.389709,2.061205,2699.574939,156.088639,11:15,5.67152,-1.51061,6.02948,-16.4182,15.15556,-6.26981,3.01522,-0.12336,85.66971,-4.510614,0.933836,0.404422,,,,,,,,,,,,3.80036,8.49252,1.35273,50,5.55382,-4.63053,-136.32192,-3.81222,7.14109,30.37368,-16.2161,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240315-BaggettStadium-1,254198f0-e332-11ee-b819-35488bbc96b4,93.20085,,,8.23401,,,,,,,8b349a1f-760b-41e9-82c1-d47559b494e4,2024-03-16,01:11:40.26,2024-03-15T18:11:40.2640000-07:00,2024-03-16T01:11:40.2640000Z,,v3,471251,471256,15 March 2024 21:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8c8157eb-3a4d-4d6b-95e4-524b37cc649e,54.47019,-137.3143,15.18684,5.66972,-3.2824,-8.10805,1.50783,-4.86385,3.57054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.19165,,0.615168,,-0.65169,2.84944,0.09043,-1.37162,5.64978,0.77397,,,,-1.2547,112.79126,-10.47769,5.65213,6.86249,-10.65287,0.74486,-7.17899,2.12531,High,High,High,,,High,High,High
