PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,13:06:41.24,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.16029,-2.932753,-3.647152,2238.90436,227.950794,1:30,5.65004,2.31664,6.34731,-19.36304,14.80788,15.10658,1.32883,0.21355,81.9315,-6.615964,-0.917799,0.420726,,,,,,,,,,,,-9.04615,8.96418,-2.05855,50,5.4273,7.73381,-130.62487,-7.25871,-15.4976,29.68885,-16.81686,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,eeff87f0-d9a1-11ee-aaab-c52f13766ba9,89.58896,,,8.2288,,,,,,,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:06:41.24,2024-03-03T13:06:41.2491398-08:00,2024-03-03T21:06:41.2491398Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,81da5f71-9536-4037-955a-c8c493d69820,54.15416,-131.56565,14.84443,5.64887,-6.72582,-8.40843,-2.3114,8.2249,-7.7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-03,13:06:58.26,1,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.6016,-2.116051,-2.441616,2240.489039,223.602495,1:30,5.5746,2.33845,6.08307,-17.99812,15.9315,14.10867,2.11437,1.25389,82.61548,-5.534211,0.098158,0.419238,,,,,,,,,,,,-7.97737,9.15847,-2.15714,50,5.40137,5.01494,-131.46108,-5.39342,-13.916,28.69314,-16.19767,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,f925f340-d9a1-11ee-aaab-c52f13766ba9,89.90696,,,7.98611,,,,,,,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:06:58.26,2024-03-03T13:06:58.2609542-08:00,2024-03-03T21:06:58.2609542Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ae1476f1-4bc5-4ffd-a95f-56dd58f5488f,54.41725,-132.42169,14.34657,5.57285,-4.85114,-8.09884,-2.33283,5.48083,-6.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-03,13:07:15.54,1,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.18762,-2.877082,-3.12737,2182.255937,226.634572,1:30,5.67254,2.2532,6.25831,-17.95473,15.48875,15.18942,1.51712,0.63232,82.93786,-6.296552,-0.385772,0.416224,,,,,,,,,,,,-8.85886,9.24733,-2.02839,50,5.44979,6.60508,-132.17621,-7.16988,-15.56402,29.98565,-15.92757,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,037124a0-d9a2-11ee-aaab-c52f13766ba9,90.55802,,,8.24975,,,,,,,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:07:15.54,2024-03-03T13:07:15.5422854-08:00,2024-03-03T21:07:15.5422854Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,abd419a9-1524-45d2-b2e4-cd74158d7db6,54.24271,-133.13524,14.99283,5.67096,-6.66047,-7.96379,-2.2476,7.10286,-7.78201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-03,13:07:35.87,1,4,"Brooks, Steven",1000114564,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.34729,-2.401545,-3.381084,2209.901793,228.008348,1:30,5.68813,2.29941,6.5092,-17.50702,14.8965,15.28406,2.02009,0.46653,83.63647,-5.762301,-0.610509,0.409702,73.43859,24.900737,-156.087357,2234.824295,,,,,59.29464,,,-9.07355,8.88749,-2.06941,50,5.51236,7.29541,-133.87867,-6.10428,-16.2887,31.83962,-16.21933,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,0f8ea500-d9a2-11ee-aaab-c52f13766ba9,91.99976,19.44257,,8.71082,,,,1.66908,1.94212,-0.53046,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:07:35.87,2024-03-03T13:07:35.8744198-08:00,2024-03-03T21:07:35.8744198Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,1acb8ad2-7b01-422b-b8eb-93933fdbf4ad,53.99111,-134.82451,15.91981,5.68654,-5.62246,-8.10967,-2.29331,7.77929,-8.14435,,1.66908,-89.31105,6.06706,0.84332,-0.39719,0.15414,-0.04095,0.00881,-0.00127,1.94212,45.35093,-31.46272,5.12172,-1.1481,0.25475,-0.04982,0.01135,-0.00198,-0.53046,-39.60079,7.07673,-0.323,-0.04614,0.05254,-0.01684,0.00364,-0.00052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-03-03,13:07:57.00,1,5,"Brooks, Steven",1000114564,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.69568,-1.351667,-1.534109,1318.036507,224.099015,1:30,5.61188,2.18797,6.59664,-24.77927,12.55138,10.92603,2.30786,1.69257,77.87351,-6.060274,0.453904,0.439748,41.62762,-47.710632,-14.563041,,,,,6.16229,4.44515,-21.501868,0.055329,-6.26276,7.39504,-2.08758,50,5.50916,2.93959,-124.50682,-3.61171,-9.72793,27.44201,-20.68735,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,1c2b6780-d9a2-11ee-aaab-c52f13766ba9,85.71365,2.52536,,7.82217,,,,3.51018,2.52536,-1.68109,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:07:57.00,2024-03-03T13:07:57.0091142-08:00,2024-03-03T21:07:57.0091142Z,GroundBall,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,46e822b8-6e78-404d-b627-d97e58a886bf,53.90402,-125.36433,13.72101,5.61192,-2.96527,-10.34367,-2.18419,3.24357,-4.86397,,3.50643,40.18247,,,,,,,,2.52961,-45.64286,,,,,,,,-1.68012,-10.43908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2024-03-03,13:08:33.15,2,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.64819,-2.570441,-2.151303,2252.41612,227.557846,1:30,5.64253,2.33051,6.30771,-17.66509,15.3265,15.53528,1.79916,1.64229,83.35393,-5.939967,0.658475,0.413402,,,,,,,,,,,,-8.69205,9.06323,-2.17967,50,5.44523,4.34889,-132.96624,-6.47512,-15.45469,30.33377,-16.05938,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,31bbe1b0-d9a2-11ee-aaab-c52f13766ba9,91.17616,,,8.29426,,,,,,,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:08:33.15,2024-03-03T13:08:33.1537030-08:00,2024-03-03T21:08:33.1537030Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,92dc5f2c-5559-40d1-a19e-2ee9bc6d8c6f,54.19199,-133.91915,15.16689,5.64071,-5.97063,-8.02969,-2.32391,4.83439,-7.72735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-03,13:08:48.94,2,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.99577,-2.423006,-3.515082,2166.668025,221.354958,1:30,5.67277,2.22252,6.35198,-17.2021,16.53525,13.46737,2.00339,0.10517,82.04686,-5.735052,-1.082211,0.418049,90.6592,29.392925,-58.156142,4685.303668,51.4883,47.80023,-97.20547,269.62796,206.81161,-68.190029,3.440042,-8.15012,9.74985,-1.97324,50,5.48843,7.54508,-131.79266,-6.0512,-14.11734,31.97121,-15.28576,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,3b1d9d70-d9a2-11ee-aaab-c52f13766ba9,90.16282,52.01322,,8.94891,,,,1.27085,2.00272,0.06914,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:08:48.94,2024-03-03T13:08:48.9474694-08:00,2024-03-03T21:08:48.9474694Z,FlyBall,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a39b205c-1021-4875-94b2-7a4a5949a713,54.14714,-132.79489,15.9856,5.67061,-5.57202,-7.64288,-2.2167,7.98763,-7.05867,,1.2707,61.12816,-20.12751,5.91026,-1.52639,0.35561,-0.06014,0.00561,-0.00019,2.00281,65.25655,-24.21133,2.25929,-0.28885,0.02869,-0.00882,0.00233,-0.0002,0.06921,-98.41568,14.90563,-3.93328,0.9303,-0.20587,0.03451,-0.00329,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-03-03,13:09:09.34,2,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.46392,-1.915913,-3.244248,2217.309238,213.398713,1:00,5.6732,2.18749,6.63617,-15.14528,18.05552,11.06591,2.65356,0.13629,81.91288,-4.886203,-1.234307,0.414711,100.20108,16.15,-20.52603,3780.957482,99.60674,26.17947,-46.67406,276.78506,273.16987,-32.508712,2.780779,-6.93804,10.52174,-1.97206,50,5.53703,7.07196,-132.53144,-4.79229,-12.06579,34.19134,-13.87591,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,4747a0f0-d9a2-11ee-aaab-c52f13766ba9,90.88842,28.87301,,9.55105,,,,0.9869,2.56572,-0.05212,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:09:09.34,2024-03-03T13:09:09.3478534-08:00,2024-03-03T21:09:09.3478534Z,LineDrive,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,dd5a4a55-ab26-43b4-959e-d1867135d691,53.86194,-133.52405,17.09567,5.67031,-4.38946,-6.93796,-2.18245,7.42224,-6.0329,118.039719,0.9869,132.19648,-29.16746,6.6864,-1.21281,0.0734,0.04584,-0.01566,0.00163,2.56573,40.88003,-16.73284,0.81023,-0.28249,0.21987,-0.09967,0.02312,-0.00212,-0.05214,-49.49915,-4.83838,2.2215,-0.38491,-0.11143,0.09301,-0.02424,0.00232,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-03-03,13:09:42.26,3,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.87545,-3.360472,-4.188944,2273.195942,214.384734,1:15,5.64335,2.05811,6.48069,-13.70426,20.111,12.89233,1.40381,-0.72083,81.77826,-6.050113,-1.858058,0.418531,,,,,,,,,,,,-8.07465,11.96009,-1.76821,50,5.39982,9.09753,-131.40024,-8.03843,-13.88663,32.08904,-11.60525,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,5aec29a0-d9a2-11ee-aaab-c52f13766ba9,90.05885,,,9.09719,,,,,,,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:09:42.26,2024-03-03T13:09:42.2641798-08:00,2024-03-03T21:09:42.2641798Z,,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,d83ca0b6-e52a-4181-a97c-3c10082e858f,54.01729,-132.37766,16.04452,5.63928,-7.68493,-5.80262,-2.05176,9.52051,-6.94331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,13:09:58.96,3,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.92703,-2.369116,-4.000709,2275.719849,216.380198,1:15,5.69056,2.09517,6.61677,-15.18418,18.21851,12.53666,2.24889,-0.53016,82.11025,-5.327828,-1.727267,0.41597,106.02365,17.915757,-8.038227,1332.180437,109.25281,32.83203,-12.79943,360.18946,354.56392,-6.25499,3.713668,-7.94914,10.73016,-1.82808,50,5.5228,8.7382,-131.74294,-5.83154,-13.77623,31.62152,-13.57819,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-1,64d45370-d9a2-11ee-aaab-c52f13766ba9,90.61331,44.82568,,8.81678,,,,3.1022,2.38022,0.49478,62a1f3b1-7820-494f-a2e9-dee056915962,2024-03-03,21:09:58.96,2024-03-03T13:09:58.9661318-08:00,2024-03-03T21:09:58.9661318Z,LineDrive,v3,471251,471475,03 March 2024 16:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,933e27b3-8e34-4988-ad24-9be41914e580,53.88437,-132.67201,15.81076,5.68827,-5.4326,-6.78909,-2.09076,9.14295,-6.88811,197.410841,3.10225,146.50692,-26.89411,6.45955,-1.31838,0.21639,-0.02525,0.00157,-1E-05,2.38006,47.83686,-12.99282,-0.79686,0.41827,-0.07544,-0.00069,0.00286,-0.00034,0.4948,-20.69275,7.55278,-2.9133,0.85009,-0.19787,0.03477,-0.00394,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
