PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,18:05:43.56,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.4265,-4.09626,3.943832,2498.055086,161.30062,11:30,5.50685,-1.14166,5.88401,-16.4017,17.42615,-5.5117,0.32051,2.06728,83.41329,-7.196146,2.95829,0.418609,,,,,,,,,,,,3.96575,10.4526,0.82606,50,5.16551,-8.87361,-132.14963,-9.97791,6.98744,29.11943,-13.75719,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,89869190-ddb9-11ee-9a3a-d5d4b5fa1cf6,90.04209,,,8.01321,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:05:43.56,2024-03-08T18:05:43.5600000-08:00,2024-03-09T02:05:43.5600000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,769cf257-7b88-40b5-9589-f5f49d9ca86d,54.616,-133.16289,14.55972,5.50437,-9.49921,-6.87859,1.13906,-9.11675,3.49372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,18:05:59.49,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.01127,-1.067389,2.645147,2336.178315,163.260788,11:30,5.66265,-1.30701,6.25299,-20.06281,12.56536,-3.46567,3.00522,0.8453,84.00575,-4.86112,2.019802,0.411119,,,,,,,,,,,,2.54382,7.1391,1.11202,50,5.57334,-6.0265,-133.57789,-3.10624,4.58797,29.2525,-19.29817,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,92f78f90-ddb9-11ee-9a3a-d5d4b5fa1cf6,91.68251,,,8.00552,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:05:59.49,2024-03-08T18:05:59.4980000-08:00,2024-03-09T02:05:59.4980000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,bb0542d5-312a-4a9d-a5d7-e8b9d377a4da,54.24667,-134.50466,14.62625,5.66206,-2.49484,-9.64908,1.30526,-6.17186,2.29398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-08,18:06:16.63,1,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.64204,0.360829,1.297289,2902.864892,277.420296,3:15,5.44354,-1.3458,5.28455,-45.87951,-1.14965,21.12466,1.9592,1.6331,73.0347,-8.005961,5.046707,0.48136,,,,,,,,,,,,-10.11288,-0.21063,1.21155,50,5.44318,-3.52712,-116.86488,-0.8923,-13.71224,26.03909,-32.45965,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,9d3d42b0-ddb9-11ee-9a3a-d5d4b5fa1cf6,78.30403,,,7.60735,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:06:16.63,2024-03-08T18:06:16.6330000-08:00,2024-03-09T02:06:16.6330000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a8a61138-f087-460c-a663-c4ee0b0b686b,55.21583,-118.02131,13.01954,5.45079,0.54928,-16.22983,1.35467,-2.91814,-6.85612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-08,18:06:32.36,1,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.97813,-0.278779,2.845643,2870.258028,299.435754,4:00,5.43493,-1.22388,5.49413,-53.40223,-9.0963,18.98446,0.72364,3.02233,73.42543,-9.969278,6.226492,0.479074,,,,,,,,,,,,-8.74079,-4.24036,0.9609,50,5.37385,-6.56843,-117.28976,-2.41728,-11.85376,27.65737,-37.92455,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,a69b7c00-ddb9-11ee-9a3a-d5d4b5fa1cf6,78.67777,,,7.5527,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:06:32.36,2024-03-08T18:06:32.3660000-08:00,2024-03-09T02:06:32.3660000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,4f07b41e-7ccb-4cff-be55-8839f99eb76d,55.0094,-118.46511,13.82868,5.44233,-0.80561,-18.96228,1.22933,-6.06468,-5.92688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-08,18:06:51.33,1,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,2,2,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,86.54644,0.006595,0.798864,2996.434051,281.684349,3:30,5.50694,-1.33168,5.52564,-38.53321,-0.53224,8.57847,2.30201,0.1301,79.00034,-7.048391,2.329629,0.443679,71.55839,-12.384661,14.848504,6975.446429,,,,8.09946,8.09946,10.906111,0.055479,-4.13248,0.04106,1.25616,50,5.48154,-2.11283,-125.64714,-1.39136,-6.5595,27.14209,-32.10886,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,b1eb4c20-ddb9-11ee-9a3a-d5d4b5fa1cf6,84.95431,1.231,,7.5461,,,,2.50674,1.231,0.08277,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:06:51.33,2024-03-08T18:06:51.3360000-08:00,2024-03-09T02:06:51.3360000Z,GroundBall,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,4365a97e-7cca-4ded-8389-36515054b072,54.97634,-126.71756,13.57104,5.51144,-0.12506,-16.05443,1.33439,-1.85414,-3.27975,,2.50677,99.08049,-16.41466,,,,,,,1.23096,-22.50026,5.64564,,,,,,,0.08277,26.26915,-2.51633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
6,2024-03-08,18:07:24.54,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.32673,-2.762958,3.66633,2477.257666,142.733695,10:45,5.51354,-1.16404,6.43951,-18.43123,13.81198,-9.72036,1.43139,1.39974,84.46884,-6.260067,1.907957,0.408687,,,,,,,,,,,,6.12528,8.31571,0.9075,50,5.30832,-8.18863,-133.85973,-7.00677,11.10647,29.07466,-17.09589,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,c5b38970-ddb9-11ee-9a3a-d5d4b5fa1cf6,92.2282,,,7.85789,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:07:24.54,2024-03-08T18:07:24.5450000-08:00,2024-03-09T02:07:24.5450000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,af42393d-68cf-4739-8612-97bcbb61e4c1,54.06172,-134.73906,14.53733,5.51241,-6.48972,-8.54795,1.16023,-8.52453,5.55324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,18:07:39.31,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.12896,-1.8573,2.009347,2589.436961,152.215056,11:00,5.6073,-1.26323,6.13537,-17.98635,14.68576,-7.18465,2.39014,-0.00402,84.15373,-5.267068,0.714523,0.411396,104.65962,12.933384,1.281831,1498.343221,109.90099,16.45057,-4.64531,222.52715,176.1617,-6.068648,1.853732,4.31488,8.44953,1.1136,50,5.45608,-4.39731,-133.77509,-4.8875,7.80309,29.41052,-16.89375,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,ce7e8370-ddb9-11ee-9a3a-d5d4b5fa1cf6,91.62083,16.49293,,7.97523,,,,2.34194,2.4239,0.02563,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:07:39.31,2024-03-08T18:07:39.3140000-08:00,2024-03-09T02:07:39.3140000Z,LineDrive,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8986c0ec-b086-4ef0-a538-c76e79ffda67,54.36613,-134.73157,14.70526,5.6061,-4.33808,-8.44688,1.26073,-4.65108,3.90155,82.84651,2.34193,149.56987,-21.94982,3.68297,-0.82167,0.31562,-0.14999,0.04321,-0.00523,2.4239,34.3564,-22.91064,2.73851,-0.59686,0.15553,-0.04343,0.00955,-0.001,0.02563,3.34932,-14.72187,5.30065,-2.22768,1.40546,-0.75929,0.23302,-0.0295,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-08,18:08:15.07,3,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,0,0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.90118,-0.762197,1.385206,3018.906386,253.864104,2:30,5.47782,-1.42015,5.53522,-35.08868,4.45457,10.87548,1.84106,0.7812,77.49488,-7.204352,3.324872,0.452593,,,,,,,,,,,,-5.10044,2.85496,1.29238,50,5.38835,-3.43213,-123.1866,-2.87053,-7.77623,26.25459,-27.82131,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,e3d0bc20-ddb9-11ee-9a3a-d5d4b5fa1cf6,83.28112,,,7.4063,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:08:15.07,2024-03-08T18:08:15.0700000-08:00,2024-03-09T02:08:15.0700000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,e061cf02-3eb9-4b23-96da-95abc56df795,54.96542,-124.24037,13.12729,5.48115,-1.75388,-13.91066,1.42387,-3.12002,-3.88811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,18:08:53.73,3,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.84218,1.672471,-1.534322,3021.863453,285.666239,3:30,5.45318,-1.48974,5.06252,-50.86144,-4.85544,23.28202,2.79286,-0.99677,72.03858,-7.576188,2.584155,0.488178,,,,,,,,,,,,-12.04926,-2.48331,1.61612,50,5.57188,2.11213,-115.64484,1.51596,-16.01314,25.31743,-35.47431,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,fae2cd40-ddb9-11ee-9a3a-d5d4b5fa1cf6,77.21037,,,7.80359,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:08:53.73,2024-03-08T18:08:53.7390000-08:00,2024-03-09T02:08:53.7390000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,602e991b-c1a9-4612-8dff-b4c29c390258,55.43938,-116.82958,12.65872,5.46209,3.176,-17.73715,1.49975,2.86148,-8.00657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-08,18:09:16.18,3,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,1,1,ChangeUp,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.29848,-1.956567,3.313394,1843.375827,141.872099,10:45,5.42066,-1.34977,5.81182,-20.00458,16.92351,-12.33386,1.93042,0.70701,79.69394,-5.728368,1.107276,0.437371,,,,,,,,,,,,7.26804,9.56548,1.08545,50,5.24818,-6.81897,-126.54962,-4.9393,11.76661,26.22777,-16.68797,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240308-BaggettStadium-1,083d3a70-ddba-11ee-9a3a-d5d4b5fa1cf6,86.17959,,,7.60454,,,,,,,e76ab63e-3a24-4ec9-965b-8067d6a94aa3,2024-03-09,02:09:16.18,2024-03-08T18:09:16.1850000-08:00,2024-03-09T02:09:16.1850000Z,,v3,471251,4144,08 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c3803e78-a6fa-4f5d-a6ca-e81c5f466f98,54.68925,-127.51778,13.11388,5.41913,-4.32329,-8.34399,1.34518,-7.25331,5.8833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
