PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-16,18:05:02.54,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Austin, Trevor",809338,Right,MIZ_TIG,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.50868,-2.354199,-3.94952,2279.956115,222.819335,1:30,5.65164,2.24522,6.53582,-15.87489,17.7921,15.40272,2.16294,-0.09976,82.06605,-5.427633,-1.15954,0.417612,102.85917,33.372943,-13.29413,3378.843883,107.2778,73.26869,-24.31901,398.19639,396.36174,-13.087494,5.984314,-9.29422,10.3963,-1.97716,50,5.4809,8.4527,-131.16457,-5.80125,-16.05211,29.97196,-14.21848,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,f65544b0-cd38-11ee-b210-8520813a5959,90.25701,117.24766,,8.44263,,,,1.70917,2.26044,0.09493,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:05:02.54,2024-02-16T18:05:02.5486424-08:00,2024-02-17T02:05:02.5486424Z,FlyBall,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,55afa864-f6ff-4485-b770-95600c3df0c4,53.96469,-132.06742,14.98598,5.6492,-5.37295,-7.10924,-2.23907,8.93624,-8.02605,182.309162,1.71714,122.46133,-28.23601,7.08064,-1.18727,0.10084,0.00225,-0.00111,6E-05,2.25163,83.13264,-15.36502,-0.30026,0.26767,-0.06823,0.01319,-0.00158,8E-05,0.09318,-28.9365,7.50578,-2.14509,0.43132,-0.05638,0.00387,-7E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2024-02-16,18:05:45.76,2,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.63951,-1.79251,-2.738727,2213.358484,225.075374,1:30,5.70793,2.34001,6.60312,-16.63477,16.49847,15.48091,2.67717,1.11923,82.83619,-4.991111,0.074497,0.414289,,,,,,,,,,,,-8.87721,9.49064,-2.15886,50,5.57828,5.69018,-131.65317,-4.55042,-15.57347,28.0658,-15.52447,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,100f6b60-cd39-11ee-b210-8520813a5959,90.98106,,,7.80333,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:05:45.76,2024-02-16T18:05:45.7615448-08:00,2024-02-17T02:05:45.7615448Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2807cd01-25ef-4913-981a-04194a70496b,53.8974,-132.48141,14.0329,5.70581,-4.09228,-7.76224,-2.33356,6.14976,-7.78674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-16,18:06:01.56,2,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,0,1,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.59091,-2.78044,-3.479059,2360.859297,203.622264,12:45,5.62895,2.20325,6.54279,-30.43045,6.90823,2.51075,0.53628,-0.78227,78.80632,-8.446495,-3.023462,0.439796,,,,,,,,,,,,-2.30311,4.74729,-1.9632,50,5.42292,7.45813,-124.15249,-6.92932,-3.59252,24.998,-24.76897,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,19852450-cd39-11ee-b210-8520813a5959,85.70444,,,6.78459,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:06:01.56,2024-02-16T18:06:01.5622744-08:00,2024-02-17T02:06:01.5622744Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,988bc09a-f5a5-4c93-affd-3a59f200d00a,53.95887,-124.94707,12.499,5.63066,-6.14203,-12.38449,-2.20208,7.57232,-1.79626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-16,18:06:15.96,2,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.42365,-2.489681,-3.847176,1367.977502,221.164407,1:15,5.49616,2.16769,6.98674,-30.71718,9.12284,6.80815,0.66573,-0.76886,75.37357,-8.290208,-2.601996,0.454288,,,,,,,,,,,,-4.78181,6.02851,-1.93272,50,5.33247,7.81114,-119.53104,-5.98679,-6.86794,24.60297,-23.51549,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,221d7590-cd39-11ee-b210-8520813a5959,82.97038,,,7.05007,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:06:15.96,2024-02-16T18:06:15.9689304-08:00,2024-02-17T02:06:15.9689304Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,fb357402-1c0a-46c0-af93-559a780dde50,53.5129,-120.25192,12.30149,5.4978,-5.29777,-11.75774,-2.16454,8.01237,-3.43397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-16,18:06:36.76,2,4,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,2,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.92816,-1.690425,-2.79508,1249.112106,228.217844,1:30,5.55628,2.21854,7.01185,-27.74281,10.82276,10.56256,1.70557,0.55611,75.97978,-6.986998,-0.859559,0.446963,102.27079,7.670567,-42.469557,3117.63126,,,,131.08636,131.08636,-46.343058,1.009144,-6.58705,6.73091,-2.05086,50,5.44372,5.59574,-121.85034,-4.28825,-9.74186,27.58597,-22.21942,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,2e7f51f0-cd39-11ee-b210-8520813a5959,84.3302,6.1067,,7.94838,,,,2.95996,1.90879,-0.65604,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:06:36.76,2024-02-16T18:06:36.7661656-08:00,2024-02-17T02:06:36.7661656Z,LineDrive,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3e2797ea-60c8-49e4-b305-19807a8a83fb,53.48822,-122.6375,13.79299,5.55704,-3.65422,-11.10971,-2.2145,5.87372,-4.87093,,2.95996,109.6531,-27.1719,5.43341,-1.18963,0.22224,-0.03678,0.00573,-0.00053,1.90879,20.02115,-25.81458,5.10786,-1.31832,0.34828,-0.08156,0.01646,-0.002,-0.65604,-100.37143,5.76498,1.84634,-0.89251,0.32713,-0.09298,0.02071,-0.00264,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2024-02-16,18:07:04.72,2,5,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.45301,-0.507991,-2.523155,2276.687021,231.173982,1:45,5.60113,2.15761,6.76643,-18.74584,13.93186,15.88749,3.57459,1.17581,82.58891,-4.126726,0.373381,0.411431,73.39703,-1.906206,140.013356,2724.415215,,,,89.29214,54.40188,142.191255,1.00999,-9.19973,7.86504,-1.99798,50,5.56055,5.23708,-132.82276,-1.66677,-16.21552,31.98888,-18.31106,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,3f220c50-cd39-11ee-b210-8520813a5959,91.61304,1.7367,,8.8641,,,,-1.15879,1.7367,0.46499,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:07:04.72,2024-02-16T18:07:04.7231576-08:00,2024-02-17T02:07:04.7231576Z,GroundBall,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,4c5e0243-0453-4b33-9dce-787cfb4338a2,53.73334,-133.71887,15.99444,5.60006,-1.15382,-9.15553,-2.15105,5.69133,-8.10776,,-1.15879,-82.43425,15.93399,-2.58857,0.27814,0.00364,-0.01286,0.00402,-0.00056,1.7367,-3.58077,5.51685,-4.75043,1.39113,-0.35798,0.08589,-0.01703,0.00198,0.46499,69.13781,-18.57515,3.92178,-0.73163,0.12628,-0.02021,0.00277,-0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2024-02-16,18:07:32.02,2,6,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.19935,-1.445372,-3.673348,2381.647194,107.831599,9:30,5.63199,2.19192,6.09842,-41.12644,7.82937,-18.75674,0.86492,-2.77331,69.13668,-9.053227,-7.039209,0.503586,,,,,,,,,,,,8.35855,5.10264,-1.89951,50,5.49945,7.7511,-110.26981,-3.9564,10.04951,23.90797,-26.03916,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,4f71c4b0-cd39-11ee-b210-8520813a5959,74.84808,,,7.06268,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:07:32.02,2024-02-16T18:07:32.0260696-08:00,2024-02-17T02:07:32.0260696Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,619553f5-e4e4-4f2d-b3d1-82f63327d308,54.39916,-111.21952,11.95398,5.63607,-2.92203,-13.01958,-2.19948,7.3519,5.02475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-16,18:07:52.32,2,7,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,3,2,Fastball,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,85.50447,-0.703931,-2.904705,2381.184212,129.376086,10:15,5.48478,2.26631,6.40399,-31.18954,6.58835,-6.51225,2.23747,-0.94976,78.00342,-6.537627,-4.082502,0.442375,73.37904,68.939712,105.44255,6164.731959,,,,,49.35424,,,2.55583,3.99232,-2.05506,50,5.41995,6.53622,-124.12835,-2.45742,3.95175,26.93114,-26.00117,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,5b881920-cd39-11ee-b210-8520813a5959,85.20479,95.18715,,7.50105,,,,2.81282,2.17157,0.821,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:07:52.32,2024-02-16T18:07:52.3286616-08:00,2024-02-17T02:07:52.3286616Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,1fabc67b-ba68-4e23-89a0-626359b2c849,54.09742,-125.01417,13.46557,5.48671,-1.60219,-13.00059,-2.26791,6.40624,1.97588,338.174443,2.81284,-10.30253,-8.20889,2.39016,-0.04371,-0.26819,0.05452,0.03108,-0.0112,2.17157,100.43358,-30.06578,4.12559,-0.93401,0.25451,-0.08916,0.02473,-0.00329,0.82101,37.27722,-7.95466,1.70535,-0.27901,0.04416,-0.02673,0.01525,-0.00317,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-02-16,18:08:18.74,2,8,"Brooks, Steven",1000114564,Right,CAL_MUS,"Moore, Tucker",1000138907,Left,MIZ_TIG,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.34421,-2.479926,-3.557015,2242.124155,207.347258,1:00,5.50206,2.13642,6.9563,-13.53379,19.39592,9.37501,2.11191,-0.32314,81.80956,-5.169775,-1.844975,0.413014,,,,,,,,,,,,-6.12851,11.47379,-1.9177,50,5.34229,7.84953,-132.28792,-5.98646,-10.626,33.89229,-12.28005,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,6b3f3b00-cd39-11ee-b210-8520813a5959,91.26181,,,9.53465,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:08:18.74,2024-02-16T18:08:18.7490000-08:00,2024-02-17T02:08:18.7490000Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ab03b17b-07dd-4eda-9e7c-f341fe17f5c3,53.53881,-133.19148,16.94615,5.49753,-5.65908,-6.14003,-2.13075,8.13282,-5.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.43529,,,0.89082,,,,-1.3858,5.58766,-2.01131,70.40022,6.08368,-54.39352,-1.28549,86.08232,-6.23821,5.60582,10.71228,-11.41035,-2.16253,-65.70649,7.85113,High,High,High,,,High,High,High
10,2024-02-16,18:08:50.17,3,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Corona, Daniel",1000075113,Left,MIZ_TIG,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.89471,-2.817411,-2.792326,1272.244048,242.133654,2:00,5.57411,2.16089,6.94739,-31.64364,7.85957,12.29001,0.36793,0.64178,75.64553,-8.785442,-0.540336,0.452364,,,,,,,,,,,,-7.51737,5.43567,-1.99121,50,5.38768,5.47261,-120.32345,-6.74002,-10.89047,25.91973,-24.29932,CAL_MUS,MIZ_TIG,BaggettStadium,D1,BW,20240216-BaggettStadium-2,7dfe45b0-cd39-11ee-b210-8520813a5959,83.32333,,,7.24918,,,,,,,793b786f-6017-4b3e-9839-f6f8e85320ab,2024-02-17,02:08:50.17,2024-02-16T18:08:50.1743192-08:00,2024-02-17T02:08:50.1743192Z,,v3,471251,4806,16 February 2024 21:00-missouri@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b211bee2-90f0-4642-926c-92364447d1d9,53.5547,-121.08678,12.95987,5.57563,-6.02442,-12.14966,-2.1571,5.79333,-5.44523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
