PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-21,17:06:37.49,1,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.88798,-2.919795,4.834348,2098.45,123.101038,10:00,5.95277,-1.62747,5.95236,-27.36261,13.0982,-17.79009,0.95255,1.38434,75.86735,-8.042385,1.649038,0.457814,,,,,,,,,,,,10.77631,8.08682,1.25254,50,5.70435,-9.56187,-121.19662,-7.02984,15.78788,27.00297,-20.32637,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,a155e890-d11e-11ee-9e6e-3bdad535fcb2,82.3314,,,8.02063,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:06:37.49,2024-02-21T17:06:37.4987068-08:00,2024-02-22T01:06:37.4987068Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c07f2624-cdfc-4b28-a47b-7222eca98aae,54.54844,-122.20583,13.50148,5.95289,-6.27016,-10.16319,1.62093,-10.15192,7.89394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-21,17:06:53.93,1,2,"Downs, Chris",1000279237,Left,CAL_MUS,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.88764,-0.616047,2.927344,2138.397496,115.674645,9:45,6.02952,-1.60274,5.84906,-30.62525,10.8656,-19.38155,2.90418,-0.49524,74.59477,-6.353403,-0.546321,0.463604,,,,,,,,,,,,10.81008,6.20583,1.37567,50,5.96175,-5.35143,-120.06573,-2.24795,15.49243,27.19804,-23.28021,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,ab246fe0-d11e-11ee-9e6e-3bdad535fcb2,81.30303,,,8.29287,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:06:53.93,2024-02-21T17:06:53.9388220-08:00,2024-02-22T01:06:53.9388220Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,d7017d29-6c8f-434a-b419-1287ed932184,54.64892,-121.11425,13.59902,6.03111,-1.35046,-11.6401,1.59348,-5.94868,7.74621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-21,17:07:09.54,1,3,"Downs, Chris",1000279237,Left,CAL_MUS,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,1,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.06051,1.349657,0.972365,2234.138154,333.200941,5:00,5.85434,-1.73524,5.40712,-57.08818,-7.31611,4.56744,2.362,-0.44345,69.23303,-9.049468,1.786406,0.507767,75.81528,-13.571962,40.677577,,,,,11.71409,10.60695,33.091828,0.089996,-2.00236,-3.69343,1.64528,50,5.93422,-2.04519,-110.31988,0.70345,-2.43262,22.22741,-36.66114,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,b47b2f20-d11e-11ee-9e6e-3bdad535fcb2,74.23179,2.35476,,6.82748,,,,2.41646,2.35476,0.03781,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:07:09.54,2024-02-21T17:07:09.5436604-08:00,2024-02-22T01:07:09.5436604Z,GroundBall,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b72d5016-1be5-455d-bc2f-676caad84b10,55.09509,-111.34171,11.1137,5.86315,2.38883,-18.33057,1.73673,-1.93336,-1.21631,180,2.41322,82.19856,,,,,,,,2.3558,-26.16512,,,,,,,,0.03503,70.64597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-02-21,17:07:39.97,2,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.98287,-2.675591,3.055823,2207.113403,118.794806,10:00,5.96608,-1.81252,5.96381,-26.65793,11.56902,-18.56639,1.25829,-0.5235,78.00948,-7.658894,-0.280413,0.444996,,,,,,,,,,,,10.57713,7.17146,1.58064,50,5.73861,-5.913,-124.55184,-6.66201,16.40636,27.95235,-21.05027,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,c68cbbc0-d11e-11ee-9e6e-3bdad535fcb2,84.70288,,,7.97339,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:07:39.97,2024-02-21T17:07:39.9799100-08:00,2024-02-22T01:07:39.9799100Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,e55e410f-8779-4998-8331-8a3ff7008cdb,54.53734,-125.566,13.97618,5.96646,-5.89827,-10.52513,1.80597,-6.50824,8.20318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-21,17:07:55.11,2,2,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.68099,-0.813487,3.747634,2196.949273,108.523838,9:30,5.99172,-1.52692,5.6771,-30.11423,8.87997,-22.26682,2.72214,0.11628,77.32773,-6.41723,-0.227088,0.44944,,,,,,,,,,,,12.43776,5.1854,1.22453,50,5.90432,-7.17367,-124.04039,-2.77857,19.10384,28.08657,-24.20951,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,cfa44f20-d11e-11ee-9e6e-3bdad535fcb2,83.86541,,,8.35327,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:07:55.11,2024-02-21T17:07:55.1143228-08:00,2024-02-22T01:07:55.1143228Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,edcdf476-1e9a-40cb-8965-0003db8aaf73,54.82227,-125.12754,14.04329,5.99374,-1.8415,-12.10476,1.51652,-7.91313,9.55192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-21,17:08:11.77,2,3,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.72005,0.543167,0.899268,2187.411186,331.962542,5:00,5.93331,-1.73874,5.24817,-56.08153,-7.80288,5.1,1.77037,-0.46859,70.37083,-9.64402,1.806148,0.500091,,,,,,,,,,,,-2.25358,-3.62736,1.65219,50,5.94139,-1.97085,-112.62965,-0.8854,-2.83307,24.52427,-36.73411,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,d9972750-d11e-11ee-9e6e-3bdad535fcb2,75.37118,,,7.34922,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:08:11.77,2024-02-21T17:08:11.7752124-08:00,2024-02-22T01:08:11.7752124Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,dcb114ec-9927-4dbc-9351-f8fb2f5b6211,55.25273,-113.76764,12.26214,5.94293,0.81917,-18.36706,1.74059,-1.83939,-1.41654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-21,17:08:28.06,2,4,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.64003,-0.222049,3.580021,2325.52141,324.082421,4:45,5.90408,-1.63789,5.67428,-54.30676,-7.40587,6.67122,1.1711,2.26008,70.91185,-10.141757,4.771612,0.492903,,,,,,,,,,,,-2.10256,-3.24122,1.3311,50,5.85116,-7.37194,-113.76374,-2.23421,-2.67438,26.58944,-36.2968,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,e34bbe00-d11e-11ee-9e6e-3bdad535fcb2,76.47023,,,7.72818,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:08:28.06,2024-02-21T17:08:28.0608572-08:00,2024-02-22T01:08:28.0608572Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3117e766-4c70-4aa6-92f6-9c1f73a729fa,54.82602,-114.88617,13.29472,5.91314,-0.70201,-18.1484,1.63991,-7.25905,-1.33719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-21,17:08:46.72,2,5,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.02377,-0.255989,2.474326,2249.810612,326.545124,5:00,5.85875,-1.65952,5.69776,-56.8905,-8.61808,6.82528,0.87909,1.21651,70.19719,-10.624073,3.697186,0.500059,,,,,,,,,,,,-2.66788,-3.89118,1.44723,50,5.80157,-5.0771,-111.67335,-2.33666,-3.30309,23.78072,-36.99173,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,ee67ace0-d11e-11ee-9e6e-3bdad535fcb2,75.37602,,,6.82657,,,,,,,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:08:46.72,2024-02-21T17:08:46.7247932-08:00,2024-02-22T01:08:46.7247932Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,0d8c0bd0-5a88-450f-a6fa-fe3b7072c895,54.80444,-112.69181,11.89036,5.86771,-0.75241,-18.49587,1.66163,-4.93564,-1.65155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-21,17:09:03.15,2,6,"Downs, Chris",1000279237,Left,CAL_MUS,"Canton, Sam",801626,Left,NOR_BIS,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.6449,-1.224449,4.600126,2198.065572,112.943832,9:45,6.11807,-1.59729,5.74493,-27.7684,10.15843,-20.85044,2.66013,0.95746,78.52575,-6.397532,0.880293,0.443246,101.86566,-8.264104,-6.300897,,,,,18.52434,15.4556,-9.237896,0.117741,12.03146,5.92563,1.22714,50,5.99907,-9.21451,-125.37637,-3.60955,18.97699,27.49766,-22.82765,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,f82bace0-d11e-11ee-9e6e-3bdad535fcb2,85.03732,2.64007,,8.11915,,,,1.20049,2.64007,-0.97846,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:09:03.15,2024-02-21T17:09:03.1590716-08:00,2024-02-22T01:09:03.1590716Z,GroundBall,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,417a2e44-f255-4a45-9be4-6208e3b0e6b5,54.75591,-126.41513,13.74883,6.11914,-2.7472,-11.41383,1.58878,-9.93139,9.4885,125.259851,1.20065,146.94108,-15.70807,,,,,,,2.64005,-21.47252,-8.08244,,,,,,,-0.97836,-16.2373,-6.03875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-02-21,17:09:36.57,3,1,"Downs, Chris",1000279237,Left,CAL_MUS,"Dunlap, James",1000050271,Right,NOR_BIS,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,86.73018,-1.504069,3.738377,2230.816174,115.515947,9:45,6.08553,-1.6278,5.81403,-26.0386,11.93383,-22.03056,2.51376,0.01747,78.07185,-6.391816,-0.203849,0.443512,74.82036,46.011376,79.480423,4675.150381,,,,,94.89065,,,12.46296,6.98548,1.33436,50,5.94678,-7.27563,-125.53149,-4.13832,19.54486,29.48814,-21.21921,CAL_MUS,NOR_BIS,BaggettStadium,D1,BW,20240221-BaggettStadium-1,0c2114b0-d11f-11ee-9e6e-3bdad535fcb2,84.98629,71.93321,,8.65833,,,,1.39539,2.51137,-0.01739,dc991742-6b20-4530-b32f-815c497498fb,2024-02-22,01:09:36.57,2024-02-21T17:09:36.5787452-08:00,2024-02-22T01:09:36.5787452Z,,v3,471251,471388,21 February 2024 20:00-ndakotast@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8642bfd4-cba6-4177-b557-e8b5232b394e,54.68557,-126.62738,14.74407,6.08592,-3.34974,-10.6096,1.61824,-8.00199,9.77243,,1.39538,13.91523,-10.43199,3.04039,-1.03586,0.67516,-0.49505,0.21725,-0.03872,2.51137,78.95261,-25.46415,2.98177,-0.53965,-0.02556,0.11274,-0.05953,0.0112,-0.01739,74.93276,-11.5552,2.49131,-0.54901,0.17296,-0.08294,0.03152,-0.00536,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
