PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-11,18:05:14.66,1,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.916,-0.778492,-2.902398,2074.568988,252.868557,2:30,6.3129,1.7665,5.66478,-38.13971,7.47717,19.21773,2.40768,0.65923,71.96327,-7.816013,0.53287,0.48611,,,,,,,,,,,,-10.61882,4.49083,-1.5333,50,6.22304,5.0581,-114.42185,-2.76687,-13.97159,22.59915,-26.26527,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,95cf6350-e00c-11ee-acd3-177e193b34b4,77.53898,,,6.95273,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:05:14.66,2024-03-11T18:05:14.6691444-07:00,2024-03-12T01:05:14.6691444Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,959f478c-e070-4d73-9d77-79127f14158c,54.83592,-115.37303,11.29957,6.31623,-1.66139,-13.13264,-1.75856,5.64615,-6.98579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-11,18:05:35.94,1,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.0875,-1.507344,-4.551493,2134.761311,256.536763,2:30,6.30391,1.92811,5.55218,-38.16864,6.85075,21.63257,1.70989,-0.53127,72.43725,-8.540272,-0.700966,0.482915,,,,,,,,,,,,-12.4752,4.4041,-1.54858,50,6.14798,8.36481,-115.77784,-4.2992,-16.65975,24.87188,-26.29271,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,a27cc7a0-e00c-11ee-acd3-177e193b34b4,78.05184,,,7.65025,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:05:35.94,2024-03-11T18:05:35.9454580-07:00,2024-03-12T01:05:35.9454580Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c75d1aa7-1916-4122-883a-d2d1d3ef55e4,54.94886,-116.83613,12.43594,6.30711,-3.18045,-13.14635,-1.91959,9.07368,-8.32988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-11,18:05:53.29,1,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.69655,-1.505351,-3.76667,2217.728081,207.925395,1:00,6.39494,1.79977,5.3663,-15.31721,21.57883,10.71382,3.70358,-0.84447,79.73869,-4.452199,-1.868932,0.437181,,,,,,,,,,,,-6.5367,11.65823,-1.46899,50,6.24924,7.94728,-128.22044,-3.81089,-10.72736,30.0301,-13.04181,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,accc17b0-e00c-11ee-acd3-177e193b34b4,86.21704,,,8.95786,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:05:53.29,2024-03-11T18:05:53.2930000-07:00,2024-03-12T01:05:53.2930000Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ade771c5-8962-4c43-a882-e42c97a9cef4,55.13036,-129.41643,15.01505,6.39067,-3.29148,-6.52091,-1.79401,8.37451,-5.36368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46672,2.807084,1.696,1.111084,-0.36605,3.5628,0.90166,-0.78914,5.91688,-3.05857,73.4662,4.63574,-51.32527,-0.74335,70.97527,-3.75451,5.97809,14.37761,-14.00866,-3.15017,-49.40593,5.41847,High,High,High,,,High,High,High
4,2024-03-11,18:06:23.12,2,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.68741,-2.658099,-2.013884,2262.045999,209.211775,1:00,6.23933,2.07768,5.60464,-15.95032,20.72607,10.80138,2.42541,1.097,79.5677,-5.728563,-0.086724,0.435878,,,,,,,,,,,,-6.08776,11.7391,-1.91219,50,6.00157,4.02333,-128.298,-6.40005,-9.95346,31.26477,-12.98062,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,be950290-e00c-11ee-acd3-177e193b34b4,86.47475,,,9.11971,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:06:23.12,2024-03-11T18:06:23.1282036-07:00,2024-03-12T01:06:23.1282036Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,88b4ba7c-c9b8-421b-8aca-f77195ad36a5,54.8912,-129.48444,15.63239,6.2351,-5.90745,-6.49031,-2.07204,4.40104,-4.97673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-11,18:06:40.98,2,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12728,-1.249102,-5.008503,2176.632818,256.625207,2:30,6.24337,1.927,5.56953,-38.1327,6.70772,21.38667,1.89415,-0.98138,72.64216,-8.27198,-1.205363,0.481955,,,,,,,,,,,,-12.4052,4.24307,-1.50873,50,6.11037,9.30212,-115.80909,-3.77951,-16.64,24.11083,-26.48249,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,c9531a00-e00c-11ee-acd3-177e193b34b4,78.20743,,,7.48512,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:06:40.98,2024-03-11T18:06:40.9872756-07:00,2024-03-12T01:06:40.9872756Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,6d81c587-cd50-4afd-bf28-c9916ce8178b,54.9314,-116.83127,12.05542,6.2468,-2.65679,-13.24124,-1.91805,10.00757,-8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-11,18:06:59.49,2,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.60663,-1.719136,-3.841324,2273.143982,217.354113,1:15,6.24288,1.88496,5.68494,-17.86843,18.65182,13.20812,3.1473,-0.60034,79.75643,-5.13196,-1.487107,0.434949,74.1523,58.613484,23.536294,,100.29072,105.0728,45.18585,159.56453,150.26891,24.02263,5.25962,-7.97713,10.42268,-1.56971,50,6.08701,8.0386,-128.18705,-4.38622,-13.07184,30.24787,-15.09477,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,d44f9a00-e00c-11ee-acd3-177e193b34b4,86.65942,112.27089,,8.8502,,,,2.3502,3.25559,0.56926,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:06:59.49,2024-03-11T18:06:59.4966388-07:00,2024-03-12T01:06:59.4966388Z,Popup,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,5333f811-5edc-43c9-85ab-4c989b104771,54.81448,-129.31812,15.12394,6.24047,-3.82178,-7.54739,-1.87944,8.5274,-6.53592,182.517075,2.35586,51.80799,-13.57885,3.1242,-0.1975,-0.09544,0.02888,-0.00325,0.00013,3.25549,92.83751,-23.61124,2.18684,-0.20611,-0.06573,0.02893,-0.0043,0.00023,0.57151,22.57353,-5.18436,1.09091,-0.06855,-0.02547,0.00668,-0.00058,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-11,18:07:34.54,3,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.99159,-1.744696,-3.626881,2245.29745,215.663858,1:15,6.20084,1.88139,5.60489,-17.16493,19.31296,12.85442,3.13795,-0.43772,79.7152,-5.037866,-1.338326,0.434697,,,,,,,,,,,,-7.6591,10.72016,-1.57887,50,6.04046,7.57193,-128.64672,-4.42268,-12.59052,31.4401,-14.55155,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,e92f88e0-e00c-11ee-acd3-177e193b34b4,86.70978,,,9.27638,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:07:34.54,2024-03-11T18:07:34.5418100-07:00,2024-03-12T01:07:34.5418100Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8d6f9273-714a-4b56-8a99-33c927f98e4e,54.89132,-129.83662,15.72005,6.19742,-3.87196,-7.27578,-1.87446,8.04844,-6.29526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-11,18:07:55.84,3,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.30772,1.256239,-2.111788,2867.845304,26.385375,7:00,6.39241,1.72536,5.91612,-67.44842,-17.44887,-9.51237,1.93859,-1.02816,68.77043,-11.059976,-3.82386,0.508926,,,,,,,,,,,,4.14807,-8.77032,-1.55075,50,6.45561,4.37531,-109.30226,0.25959,4.92224,22.69926,-42.58122,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,f5f0ea60-e00c-11ee-acd3-177e193b34b4,74.06276,,,6.53729,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:07:55.84,2024-03-11T18:07:55.8467444-07:00,2024-03-12T01:07:55.8467444Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,08e717aa-6493-42d4-b676-96a07d914f6e,54.58855,-110.25106,11.34963,6.40756,2.03944,-21.29061,-1.72933,4.16956,2.46112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-11,18:08:13.75,3,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,2,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.93036,1.204649,-1.076354,2726.693408,21.806117,6:45,6.38561,1.69248,5.81313,-71.70535,-20.35021,-8.93934,1.53072,-0.05347,67.61893,-11.890539,-2.685901,0.515779,,,,,,,,,,,,4.18855,-10.42107,-1.59877,50,6.44158,2.36201,-108.66422,0.01529,4.83792,25.06601,-44.21069,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,008fba00-e00d-11ee-acd3-177e193b34b4,73.07873,,,7.31143,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:08:13.75,2024-03-11T18:08:13.7513332-07:00,2024-03-12T01:08:13.7513332Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,d6547755-4d65-4b8b-b511-a138f4e3be41,54.69129,-109.74104,12.53301,6.40013,1.91455,-22.10535,-1.69578,2.15418,2.41896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-11,18:08:35.92,3,4,"Naess, Griffin",1000250439,Right,CAL_MUS,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,2,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.34511,-0.463539,-2.259625,2800.405156,31.665693,7:00,6.28088,1.66125,5.42272,-69.55472,-19.38859,-13.118,0.0501,-1.54962,69.40568,-12.996397,-4.60462,0.509773,,,,,,,,,,,,5.8552,-9.29973,-1.4509,50,6.19065,4.85478,-110.61059,-3.2334,7.0228,25.58371,-43.32825,CAL_MUS,OSU_BUC,BaggettStadium,D1,BW,20240311-BaggettStadium-1,0dce61d0-e00d-11ee-acd3-177e193b34b4,73.93967,,,6.93943,,,,,,,cf04708d-5e97-4aed-86e4-a53146f315b4,2024-03-12,01:08:35.92,2024-03-11T18:08:35.9276916-07:00,2024-03-12T01:08:35.9276916Z,,v3,471251,4144,11 March 2024 21:00-ohiost@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2bc69cac-426a-402f-952f-09b0c6257922,55.08223,-111.77991,12.79186,6.29318,-1.25306,-21.66413,-1.66545,4.5338,3.5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
