PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,15:04:19.84,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.80667,-1.588101,-1.611605,2226.113025,212.758987,1:00,5.64247,2.47523,6.28219,-16.55607,17.37773,10.37607,2.79808,1.85409,81.67179,-4.790347,0.264001,0.419264,,,,,,,,,,,,-5.84847,9.86788,-2.36074,50,5.517,3.25959,-131.6775,-4.08374,-10.09432,32.38405,-15.14235,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,23848c20-e3e1-11ee-81be-89bb77747eb3,89.90143,,,9.13488,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:04:19.84,2024-03-16T15:04:19.8441474-07:00,2024-03-16T22:04:19.8441474Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3a17dd23-b732-4dff-ab80-c2b750b6a176,54.21394,-132.70981,16.19202,5.63949,-3.60104,-7.57117,-2.46977,3.58136,-5.04716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-16,15:04:33.57,1,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.44357,-1.330545,-2.340606,2288.079178,215.87781,1:15,5.56275,2.46035,6.22999,-17.26052,16.76788,11.27835,2.89555,1.23953,81.93033,-4.643533,-0.305206,0.419848,,,,,,,,,,,,-6.52217,9.42615,-2.29067,50,5.45458,4.89,-131.22133,-3.52452,-11.2684,30.13123,-15.88845,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,2bb65360-e3e1-11ee-81be-89bb77747eb3,89.77639,,,8.51324,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:04:33.57,2024-03-16T15:04:33.5717890-07:00,2024-03-16T22:04:33.5717890Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,0ffa177d-5e7f-4885-a7bd-4948bbe03562,54.26846,-132.19783,15.06562,5.56046,-3.00961,-7.94423,-2.45507,5.25519,-5.6342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-16,15:04:49.35,1,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Sakaino, Shunsuke",822684,Left,CAL_MAT,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,77.70667,-0.598032,-1.525063,2620.266925,116.49337,10:00,5.60775,2.34857,5.71684,-38.49825,8.90343,-14.39552,1.84223,-0.27209,70.3219,-7.730192,-4.100035,0.495528,,,,,,,,,,,,6.85953,5.20642,-2.21176,50,5.53413,3.53678,-112.64662,-2.34856,8.64045,24.21878,-25.61592,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,352889e0-e3e1-11ee-81be-89bb77747eb3,76.06518,,,7.38476,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:04:49.35,2024-03-16T15:04:49.3583362-07:00,2024-03-16T22:04:49.3583362Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a77c0f1b-3082-457e-9333-5659529b6723,54.78265,-113.67023,12.10939,5.61052,-1.2659,-12.80796,-2.35352,3.17159,4.32022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,15:05:26.84,2,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,0,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.21446,0.849146,-0.258602,2429.677354,190.253558,12:15,5.54202,2.40822,5.98382,-27.54761,10.21981,1.61622,4.03354,2.30321,78.06383,-4.324714,0.031983,0.442313,,,,,,,,,,,,-0.90276,5.37603,-2.38865,50,5.59403,0.49766,-125.1283,0.98091,-1.41764,27.49737,-23.732,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,4b8295a0-e3e1-11ee-81be-89bb77747eb3,85.21663,,,8.15063,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:05:26.84,2024-03-16T15:05:26.8423170-07:00,2024-03-16T22:05:26.8423170Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,287d1958-9633-4929-987b-9d463dd9596f,54.51366,-126.1163,13.74868,5.54347,1.83361,-11.866,-2.40745,0.5486,-0.70882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-16,15:05:44.09,2,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,0,1,0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,86.2536,-0.981417,-2.212284,2416.488081,197.382849,12:30,5.47328,2.41188,6.12205,-28.88435,8.65217,2.31047,2.15817,0.55815,78.4519,-6.382649,-1.795967,0.440959,,,,,,,,,,,,-1.86843,5.14107,-2.24362,50,5.38311,4.74396,-125.16861,-3.05263,-2.93756,27.38352,-24.09121,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,55c3dbf0-e3e1-11ee-81be-89bb77747eb3,85.4783,,,7.8017,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:05:44.09,2024-03-16T15:05:44.0930000-07:00,2024-03-16T22:05:44.0930000Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,c74c092f-b684-4812-a879-623f421a92ec,54.37759,-126.12267,13.69176,5.47484,-2.21327,-12.04561,-2.41069,4.84631,-1.46878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.87466,1.98299,0.744806,1.238184,0.99835,2.11117,-0.54505,-0.97801,5.60033,0.13457,127.28262,3.89741,3.04577,-0.77344,114.55501,-8.95721,5.61208,12.30076,-11.04904,0.09854,0.85734,1.22426,High,High,High,,,High,High,High
6,2024-03-16,15:06:12.99,2,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.40523,-2.264681,-3.561879,1278.785481,270.182718,3:00,5.50172,2.31023,6.38364,-37.69876,1.30287,13.62662,0.27169,0.16487,76.9877,-9.257674,-1.092585,0.449482,,,,,,,,,,,,-8.32619,1.70465,-2.05987,50,5.32074,7.12627,-122.3689,-5.99723,-12.46987,26.91453,-29.62107,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,66fae710-e3e1-11ee-81be-89bb77747eb3,83.85743,,,7.41752,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:06:12.99,2024-03-16T15:06:12.9947650-07:00,2024-03-16T22:06:12.9947650Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,12f91b84-8b72-44e2-a90a-6b750870c7b5,54.11911,-123.27155,13.45727,5.50521,-5.00381,-14.81054,-2.30588,7.54449,-6.23494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-16,15:06:27.79,2,4,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68058,-0.800547,-2.488617,2378.25302,231.204465,1:45,5.61824,2.33315,6.37936,-21.06722,12.60123,14.23036,3.12539,1.22803,82.12304,-4.810657,0.08712,0.417621,,,,,,,,,,,,-8.14725,7.15386,-2.15971,50,5.55069,5.13538,-131.61739,-2.45906,-14.14666,30.57769,-19.75229,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,6fd21610-e3e1-11ee-81be-89bb77747eb3,90.25503,,,8.55755,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:06:27.79,2024-03-16T15:06:27.7965314-07:00,2024-03-16T22:06:27.7965314Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,045a5d74-4517-4831-b852-6c68053e6618,54.11983,-132.57107,15.28885,5.61778,-1.84301,-9.87615,-2.32676,5.57659,-7.07333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,15:06:42.54,2,5,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.12446,-2.484829,-3.539966,2277.390506,210.101204,1:00,5.55267,2.29655,6.50168,-13.17847,20.6019,11.16591,2.16792,-0.02633,81.32069,-5.101114,-1.518336,0.418315,,,,,,,,,,,,-7.11264,12.0526,-2.05326,50,5.37256,7.7087,-131.881,-6.01301,-12.20505,34.75721,-11.49224,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,7891c570-e3e1-11ee-81be-89bb77747eb3,90.10537,,,9.80378,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:06:42.54,2024-03-16T15:06:42.5400834-07:00,2024-03-16T22:06:42.5400834Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,503c3820-afde-418c-af5b-832ad5ecd90c,53.9966,-132.93013,17.37861,5.54882,-5.66612,-5.74612,-2.2915,8.07711,-6.10253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-16,15:07:03.80,2,6,"Brooks, Steven",1000114564,Right,CAL_MUS,"Gonzalez, Roberto",822617,Left,CAL_MAT,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.34,-2.532772,-3.307899,2277.813475,214.316297,1:15,5.50626,2.35011,6.6117,-15.11174,18.188,11.55012,1.92166,0.27937,81.97001,-5.489258,-1.210961,0.415328,101.33337,11.389632,11.953522,5223.216141,107.19043,16.67869,24.70187,253.59395,253.59395,15.170229,2.275897,-7.2013,10.78768,-2.12924,50,5.32713,7.18934,-132.30817,-6.21703,-12.50258,33.64257,-13.44499,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,8544a800-e3e1-11ee-81be-89bb77747eb3,90.75332,17.45887,,9.36998,,,,2.38582,2.01066,-0.31966,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:07:03.80,2024-03-16T15:07:03.8077954-07:00,2024-03-16T22:07:03.8077954Z,LineDrive,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,3010bee3-b2e3-4733-9557-b3931c3048cd,53.88713,-133.2929,16.82129,5.50335,-5.82349,-6.7225,-2.34503,7.55529,-6.25129,219.873152,2.38582,142.53586,-23.16262,4.83638,-1.05392,0.22032,-0.04175,0.00587,-0.00041,2.01066,29.34987,-14.6386,0.74129,-0.09129,0.01308,-0.00059,6E-05,-1E-05,-0.31966,30.17616,0.29144,-0.59627,0.21972,-0.05972,0.01271,-0.00186,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-16,15:07:46.39,3,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Neighbors, Kamau",822678,Left,CAL_MAT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.11481,-0.376671,-2.68818,1338.329065,237.53565,2:00,5.49863,2.2584,6.08196,-29.26777,9.23634,12.50953,2.71077,0.81194,77.50799,-5.851515,-0.436518,0.446606,,,,,,,,,,,,-7.21032,5.2626,-2.05694,50,5.45409,5.29967,-123.51531,-1.72736,-11.07856,25.84286,-24.08812,CAL_MUS,CAL_MAT,BaggettStadium,D1,BW,20240316-BaggettStadium-1,9eae3db0-e3e1-11ee-81be-89bb77747eb3,84.39744,,,7.60682,,,,,,,1d79fd29-b36a-4717-bb13-6c1c97d78f39,2024-03-16,22:07:46.39,2024-03-16T15:07:46.3983106-07:00,2024-03-16T22:07:46.3983106Z,,v3,471251,471256,16 March 2024 18:00-calstnorth@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b2e3be46-a6b7-403f-9ea5-ad3ea0910629,54.41755,-124.43615,12.92143,5.50035,-0.86904,-12.04406,-2.25282,5.69442,-5.53928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
