PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,24156050-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,34812c30-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,382be4b0-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,2,Slider,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,3f3d95f0-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,1,2,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,4db66b70-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1,6,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,2,2,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,5973a360-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1,7,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,2,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,6c731270-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,1,8,"Wright, Jakob",1000114562,Left,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,3,2,Slider,,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,78cba000-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,9b9d5a10-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,0,1,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240302-BaggettStadium-1,a65ea5d0-d8f2-11ee-889a-41daf644c82a,,,,,,,,,,,bfc7b41b-805b-4e91-a3e4-f70bac39918e,,,,,,v3,471251,471475,02 March 2024 18:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
