PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-22,18:06:54.70,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Brethowr, Ivan",8899185,Right,SAN_GAU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07758,-0.38373,1.173642,2565.980952,157.59979,11:15,5.57492,-1.96314,5.9163,-20.49151,12.71548,-4.86414,3.51108,-1.27909,84.22599,-4.21375,0.300325,0.41475,,,,,,,,,,,,2.77646,6.90461,1.87183,50,5.53235,-2.50733,-132.47641,-1.56172,4.99903,24.81077,-19.74219,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,a4ae5d10-e8b1-11ee-9dc4-e3b3be324e10,90.87996,,,6.85159,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:06:54.70,2024-03-22T18:06:54.7080070-07:00,2024-03-23T01:06:54.7080070Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,8ab34de1-e705-4330-98aa-899f07893622,54.58514,-133.33237,12.40538,5.57448,-0.88062,-9.8711,1.96131,-2.67979,2.49952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-22,18:07:09.22,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Brethowr, Ivan",8899185,Right,SAN_GAU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.48884,-2.006625,3.248407,2495.590957,171.480784,11:45,5.52613,-1.85612,5.77157,-22.96131,10.40217,-1.4126,1.74152,1.05242,84.4657,-6.254076,2.996,0.415726,,,,,,,,,,,,1.55866,6.11776,1.58816,50,5.34591,-7.47512,-132.75595,-5.45647,2.80374,26.30353,-21.16927,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,ad557b60-e8b1-11ee-9dc4-e3b3be324e10,90.66651,,,7.02314,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:07:09.22,2024-03-22T18:07:09.2201350-07:00,2024-03-23T01:07:09.2201350Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,6452ea58-d57a-45f4-9da4-8663250597ce,54.73113,-133.69007,13.15176,5.52633,-4.70469,-10.58464,1.85539,-7.57469,1.40187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-22,18:07:25.36,1,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Brethowr, Ivan",8899185,Right,SAN_GAU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.52293,0.19538,0.901022,2557.961276,151.37332,11:00,5.5243,-1.79125,5.95984,-25.19808,7.10953,-3.3665,3.60567,-1.23618,85.09656,-4.490109,0.295927,0.409095,,,,,,,,,,,,1.95583,3.90051,1.72156,50,5.52571,-1.969,-134.52105,-0.42614,3.60824,27.31958,-24.97807,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,b6f8acf0-e8b1-11ee-9dc4-e3b3be324e10,92.1362,,,7.42637,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:07:25.36,2024-03-22T18:07:25.3677958-07:00,2024-03-23T01:07:25.3677958Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,60d82458-cd39-4cb9-953f-894f751caf7b,54.54079,-135.44009,13.65979,5.52591,0.41413,-12.48904,1.78983,-2.09038,1.80412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-22,18:07:41.20,1,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Brethowr, Ivan",8899185,Right,SAN_GAU,Undefined,1,Top,0,2,1,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.67832,0.410414,1.648517,2948.418401,276.656223,3:15,5.45272,-1.8989,5.81691,-36.68986,-0.07894,8.53556,2.777,0.34565,80.92844,-6.298653,3.178049,0.435489,90.37806,-20.677681,-73.696756,,,,,9.33298,9.33298,-56.2167,0.062843,-4.04,0.09811,1.75855,50,5.46397,-3.96697,-126.16564,-0.37671,-6.62965,21.31504,-32.01308,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,c07320d0-e8b1-11ee-9dc4-e3b3be324e10,86.55205,2.94868,,5.74988,,,,2.99646,2.94868,-0.25856,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:07:41.20,2024-03-22T18:07:41.2081030-07:00,2024-03-23T01:07:41.2081030Z,GroundBall,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,394753bc-d13e-4696-a89b-ae3bee35a0cc,54.68792,-126.95517,10.65752,5.45596,0.80909,-16.00654,1.90094,-3.7214,-3.31483,,2.99559,34.89958,,,,,,,,2.94985,-46.92173,,,,,,,,-0.2556,-119.32217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-03-22,18:08:03.71,1,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Brethowr, Ivan",8899185,Right,SAN_GAU,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.05007,1.086351,1.268483,2884.467833,305.145917,4:15,5.38907,-1.82073,5.46578,-56.39019,-11.93253,18.91135,1.70703,0.94265,73.62799,-9.132992,4.640141,0.479893,,,,,,,,,,,,-9.19595,-5.96874,1.69565,50,5.44577,-3.32184,-116.27623,0.21937,-12.51073,23.08331,-40.29427,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,cddf8f60-e8b1-11ee-9dc4-e3b3be324e10,78.54335,,,6.42208,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:08:03.71,2024-03-22T18:08:03.7110000-07:00,2024-03-23T01:08:03.7110000Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,b3d9d3a4-655b-4474-8ff7-5d7c08937d88,55.03973,-117.27245,11.54166,5.39877,1.95838,-20.14714,1.82736,-2.7819,-6.25536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.43365,,,0.913135,,,,-0.09304,5.46491,-0.76916,65.43199,1.9613,-59.3512,-0.07911,75.32722,-3.9243,5.49485,8.47792,-13.52018,-0.84962,-73.12292,9.91379,High,High,High,,,High,High,High
6,2024-03-22,18:08:38.17,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Durfee, Brendan",1000125246,Left,SAN_GAU,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.09501,2.20904,-0.861166,2824.132906,301.953716,4:00,5.38234,-1.98026,5.63927,-55.44597,-10.25819,18.7206,2.82397,-1.22367,72.48631,-7.910835,2.487024,0.483818,,,,,,,,,,,,-9.71315,-5.37713,2.04136,50,5.53479,0.99534,-114.87729,2.53578,-12.92836,22.06856,-39.33108,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,e26465f0-e8b1-11ee-9dc4-e3b3be324e10,77.90627,,,6.6087,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:08:38.17,2024-03-22T18:08:38.1768070-07:00,2024-03-23T01:08:38.1768070Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,bb4bbbc6-1156-48be-a55d-8d743ec26baa,54.86557,-115.80822,11.03428,5.39283,4.1949,-19.66554,1.98787,1.54071,-6.46418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-22,18:08:53.92,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Durfee, Brendan",1000125246,Left,SAN_GAU,Undefined,1,Top,1,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,93.10903,-1.632341,3.408319,2477.141313,187.698035,12:15,5.49502,-1.7454,5.72445,-21.9517,10.24465,1.26201,2.14218,1.53815,86.11571,-5.688716,3.633446,0.40839,,,,,,,,,,,,0.19752,5.90882,1.45969,50,5.34484,-8.10265,-135.10689,-4.64043,0.3692,26.36048,-21.13041,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,ebbf43e0-e8b1-11ee-9dc4-e3b3be324e10,92.29529,,,6.99333,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:08:53.92,2024-03-22T18:08:53.9270534-07:00,2024-03-23T01:08:53.9270534Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,6d432886-8669-4b35-ae94-f714cd194dda,54.77675,-136.03568,13.18024,5.49523,-3.89591,-10.5652,1.74541,-8.11566,0.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-22,18:09:12.02,2,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Durfee, Brendan",1000125246,Left,SAN_GAU,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.08147,-1.67681,3.586633,2581.022182,159.31521,11:15,5.47001,-1.86418,5.7744,-19.23351,12.91253,-4.53044,2.30333,1.10025,86.00142,-5.25808,2.777738,0.408071,,,,,,,,,,,,3.18984,7.2863,1.57021,50,5.31947,-8.26561,-135.05823,-4.61852,5.96124,26.16775,-18.55721,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,f68598b0-e8b1-11ee-9dc4-e3b3be324e10,92.36744,,,7.08005,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:09:12.02,2024-03-22T18:09:12.0268678-07:00,2024-03-23T01:09:12.0268678Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,963d195e-ee2a-424b-9166-d7f3486239de,54.72702,-135.97101,13.08388,5.46928,-3.97121,-9.27861,1.86216,-8.47355,2.98062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-22,18:09:12.02,2,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Durfee, Brendan",1000125246,Left,SAN_GAU,Undefined,1,Top,1,2,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,93.08147,-1.67681,3.586633,2581.022182,159.31521,11:15,5.47001,-1.86418,5.7744,-19.23351,12.91253,-4.53044,2.30333,1.10025,86.00142,-5.25808,2.777738,0.408071,,,,,,,,,,,,3.18984,7.2863,1.57021,50,5.31947,-8.26561,-135.05823,-4.61852,5.96124,26.16775,-18.55721,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,f5d9c850-e8b1-11ee-9278-038f203100c4,92.36744,,,7.08005,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:09:12.02,2024-03-22T18:09:12.0260000-07:00,2024-03-23T01:09:12.0260000Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,963d195e-ee2a-424b-9166-d7f3486239de,54.72702,-135.97101,13.08388,5.46928,-3.97121,-9.27861,1.86216,-8.47355,2.98062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-22,18:09:27.10,2,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Durfee, Brendan",1000125246,Left,SAN_GAU,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.50879,-3.744644,2.932473,2555.806279,151.767642,11:00,5.45831,-1.70893,6.10227,-19.32623,12.95205,-6.44284,0.37509,0.46861,85.49492,-7.350371,1.772802,0.408909,,,,,,,,,,,,4.12752,7.96004,1.48678,50,5.15928,-6.61329,-134.15702,-9.41209,7.58299,26.83368,-17.55004,CAL_MUS,SAN_GAU,BaggettStadium,D1,BW,20240322-BaggettStadium-1,ff8202f0-e8b1-11ee-9dc4-e3b3be324e10,92.17808,,,7.01387,,,,,,,8370b2d6-9acc-4c79-b62a-c9b9e0c36e56,2024-03-23,01:09:27.10,2024-03-22T18:09:27.1000000-07:00,2024-03-23T01:09:27.1000000Z,,v3,471251,471258,22 March 2024 21:00-ucsb@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,da99d0ca-2d13-49e3-b6a0-d820912d71de,54.40123,-135.03447,13.41684,5.45766,-8.83821,-8.77502,1.70709,-6.86126,3.79149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
