PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,16:28:55.66,1,1,"Baum, Ryan",809938,Right,CAL_MUS,"Jackson, Core",692110,Left,UTA_UTE,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.72016,-1.824444,-2.873621,1964.65537,234.565638,1:45,6.09303,1.30315,6.5826,-23.72919,10.64071,13.19371,2.44091,-0.23313,80.95887,-6.335715,-0.476078,0.421949,102.01639,23.64895,-3.826784,3554.706701,109.00756,44.02463,-14.74203,376.70082,376.70082,-16.013365,4.257395,-7.88252,6.55111,-1.11117,50,5.95791,6.01814,-130.12123,-4.83243,-13.28572,31.61639,-21.13241,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,2fa32a20-d9be-11ee-aaab-c52f13766ba9,89.32928,60.72563,,8.76128,,,,2.04874,2.49825,0.20632,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:28:55.66,2024-03-03T16:28:55.6605124-08:00,2024-03-04T00:28:55.6605124Z,FlyBall,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,35b56256-76b1-4072-87d9-30e0a2790df4,53.91673,-131.06945,15.8082,6.09334,-4.19864,-10.5662,-1.29764,6.41659,-6.64286,132.729482,2.04826,136.7666,-26.38825,6.69934,-1.60815,0.3852,-0.08171,0.01148,-0.0007,2.49979,59.97888,-15.74659,-0.6449,0.86954,-0.38811,0.10195,-0.014,0.00076,0.2064,-9.14956,-10.87967,4.12507,-1.21224,0.29126,-0.05417,0.00652,-0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-03,16:30:06.00,2,1,"Baum, Ryan",809938,Right,CAL_MUS,"Roberts, Kai",805956,Left,UTA_UTE,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.30918,-2.114559,-3.008504,1683.37182,237.986192,2:00,6.21455,1.30376,6.29241,-28.1347,11.72611,16.64615,1.91781,-0.08401,76.17968,-7.3898,0.000737,0.454406,57.69217,-67.747328,-131.60452,,,,,3.32348,3.84691,-8.741221,0.032618,-9.59894,7.09989,-1.09024,50,6.04503,5.74567,-120.88407,-5.27878,-14.14013,24.54886,-21.71523,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,59911cc0-d9be-11ee-aaab-c52f13766ba9,82.94874,2.56881,,7.1295,,,,3.98277,2.56881,0.28086,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:30:06.00,2024-03-03T16:30:06.0048068-08:00,2024-03-04T00:30:06.0048068Z,GroundBall,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,48b66934-fed0-430a-abd5-c2b49cae162e,54.20936,-121.7359,12.27443,6.21513,-4.52528,-10.85762,-1.29812,6.23632,-7.07007,,3.9834,-21.3957,,,,,,,,2.57112,-78.7534,,,,,,,,0.28156,-24.09473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2024-03-03,16:31:05.11,3,1,"Baum, Ryan",809938,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,1,0,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,81.12443,-0.790722,-0.783136,2069.436323,57.402723,8:00,6.17591,1.33008,5.87582,-46.03853,-3.07705,-7.12874,1.60483,0.0086,73.96091,-9.243948,-2.065583,0.471749,71.03448,-31.684718,-170.358437,,,,,0.95253,1.75291,-136.045923,0.03984,3.41748,-0.92831,-1.26255,50,6.0853,1.88161,-117.7607,-3.13572,4.73021,25.351,-33.45897,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,7cd5e3f0-d9be-11ee-aaab-c52f13766ba9,79.89935,2.18685,,7.16352,,,,2.80717,2.18685,-0.06775,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:31:05.11,2024-03-03T16:31:05.1129540-08:00,2024-03-04T00:31:05.1129540Z,GroundBall,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,dabdcebf-85d1-4214-9869-c4c014c67147,54.6253,-118.75223,12.6755,6.18235,-1.82706,-16.72949,-1.33252,1.6966,2.36511,,2.80889,-87.67284,,,,,,,,2.18794,-54.8909,,,,,,,,-0.06745,-14.89418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-03-03,16:31:29.32,3,2,"Baum, Ryan",809938,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.3256,-1.543005,-2.18299,2064.367318,51.595511,7:45,6.01991,1.31326,5.76696,-45.57294,-1.40567,-3.73232,0.78471,-1.03044,73.21475,-9.882955,-2.85247,0.478323,,,,,,,,,,,,1.21091,0.16035,-1.13016,50,5.86432,4.58006,-116.45091,-4.62576,1.63561,25.20554,-31.95745,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,8b3fc550-d9be-11ee-aaab-c52f13766ba9,78.80116,,,7.11086,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:31:29.32,2024-03-03T16:31:29.3253316-08:00,2024-03-04T00:31:29.3253316Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,d7016d0b-8a82-4b7b-ac1d-2b65c0ba8712,54.73416,-117.47114,12.60277,6.02538,-3.33224,-15.97873,-1.31421,4.51385,0.8178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-03,16:31:49.61,3,3,"Baum, Ryan",809938,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.90505,-2.71731,-3.149331,1716.253701,247.24296,2:15,6.0016,1.41273,6.54877,-31.66947,8.40752,16.76068,0.86494,-0.08154,75.6704,-8.650111,-0.102654,0.455637,,,,,,,,,,,,-9.81103,5.64146,-1.20168,50,5.79992,6.0239,-120.23244,-6.60218,-14.22507,25.37793,-23.99447,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,974fb120-d9be-11ee-aaab-c52f13766ba9,82.72474,,,7.23465,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:31:49.61,2024-03-03T16:31:49.6150724-08:00,2024-03-04T00:31:49.6150724Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,29a9fefc-4315-4573-a81e-4100f8369a3c,53.95256,-121.06385,12.68896,6.00334,-5.8161,-11.99723,-1.40667,6.48992,-7.11254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-03,16:32:11.47,3,4,"Baum, Ryan",809938,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.13729,-0.357243,-1.330687,2057.785732,85.637747,8:45,6.10693,1.3459,5.91929,-41.4938,0.93224,-5.21859,2.31749,-0.32412,74.54943,-7.992976,-2.268882,0.4688,,,,,,,,,,,,2.30599,0.96378,-1.2363,50,6.05465,2.93552,-117.88232,-2.07159,3.2367,22.93502,-30.8213,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,a466d3c0-d9be-11ee-aaab-c52f13766ba9,80.40197,,,6.58787,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:32:11.47,2024-03-03T16:32:11.4711748-08:00,2024-03-04T00:32:11.4711748Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2050eb08-d1cc-496a-9485-4962ff1dc7fc,54.5821,-118.77046,11.46751,6.11176,-0.87806,-15.41065,-1.34755,2.81018,1.61835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-03,16:32:33.98,3,5,"Baum, Ryan",809938,Right,CAL_MUS,"Quinn, Tyler",1000268405,Right,UTA_UTE,Undefined,1,Top,1,2,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.29327,-2.785198,-2.627639,2097.239076,234.30517,1:45,5.9923,1.26369,6.9216,-22.60163,13.03654,16.07599,1.56813,0.20911,78.50155,-7.152051,0.314451,0.429664,,,,,,,,,,,,-9.51504,8.40808,-1.10348,50,5.80972,5.26314,-127.87005,-6.79152,-15.21336,34.78799,-18.73062,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,b1c49c50-d9be-11ee-aaab-c52f13766ba9,87.72534,,,9.79171,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:32:33.98,2024-03-03T16:32:33.9878596-08:00,2024-03-04T00:32:33.9878596Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ea1159eb-4e61-4859-b90d-6babe5e38074,53.57493,-128.83897,17.39399,5.99161,-6.26983,-9.36531,-1.25597,5.68686,-7.60668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-03,16:33:08.00,4,1,"Baum, Ryan",809938,Right,CAL_MUS,"Clarkson, TJ",1000047535,Left,UTA_UTE,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.53809,-0.003185,-0.783571,2113.908514,65.982402,8:15,6.06149,1.29098,5.81411,-42.77345,-0.30075,-3.88591,2.49408,0.23849,74.3296,-7.878471,-1.481107,0.469058,,,,,,,,,,,,1.74201,0.28,-1.22446,50,6.03597,1.77142,-118.37163,-1.4264,2.4471,24.69011,-31.78073,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,c611c110-d9be-11ee-aaab-c52f13766ba9,80.35778,,,7.20849,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:33:08.00,2024-03-03T16:33:08.0030916-08:00,2024-03-04T00:33:08.0030916Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,601c7c62-e3f9-480e-8842-20eb8f0028dd,54.68586,-119.34501,12.34506,6.06751,-0.17348,-15.89036,-1.29239,1.67495,1.22355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-03,16:33:31.36,4,2,"Baum, Ryan",809938,Right,CAL_MUS,"Clarkson, TJ",1000047535,Left,UTA_UTE,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.97306,-1.142326,-2.145975,2129.127924,212.062751,1:00,6.05022,1.3454,6.41287,-18.98214,15.3282,8.82855,3.41723,0.10714,81.13282,-4.789168,-0.546856,0.421584,96.72369,12.332928,-81.495592,2653.933691,,,,,85.8698,,,-5.28382,8.7204,-1.19563,50,5.95975,4.53361,-130.54235,-3.12239,-8.98034,31.34623,-17.35289,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,d3fcae70-d9be-11ee-aaab-c52f13766ba9,89.40677,15.71669,,8.84023,,,,0.09493,3.20907,0.08156,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:33:31.36,2024-03-03T16:33:31.3671364-08:00,2024-03-04T00:33:31.3671364Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,199e33c5-a172-4d29-bbe3-e9368ccf90f5,54.08508,-131.51961,15.67311,6.04866,-2.58139,-8.67644,-1.34133,4.81359,-4.49017,,0.09493,20.49507,-7.24428,-0.75865,0.56199,-0.22072,0.06418,-0.0156,0.00231,3.20907,30.30039,-19.18925,2.48846,-0.5307,0.12525,-0.02655,0.00537,-0.00075,0.08156,-137.06361,23.46515,-5.41357,1.29679,-0.26589,0.05223,-0.00933,0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2024-03-03,16:33:56.40,4,3,"Baum, Ryan",809938,Right,CAL_MUS,"Clarkson, TJ",1000047535,Left,UTA_UTE,Undefined,1,Top,2,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.39863,-3.321217,-2.756134,1675.598925,253.341893,2:30,5.93256,1.32011,6.71169,-33.27785,5.8217,15.28678,0.11622,0.0724,76.81424,-9.523878,0.034606,0.450046,,,,,,,,,,,,-9.04473,4.33059,-1.1435,50,5.69864,5.32945,-121.06653,-7.94695,-13.38007,24.35853,-25.7677,CAL_MUS,UTA_UTE,BaggettStadium,D1,BW,20240303-BaggettStadium-2,e2e20160-d9be-11ee-aaab-c52f13766ba9,83.75234,,,6.58439,,,,,,,dae0ffc1-9598-4be3-ad63-6c03e01356de,2024-03-04,00:33:56.40,2024-03-03T16:33:56.4050116-08:00,2024-03-04T00:33:56.4050116Z,,v3,471251,471475,03 March 2024 20:00-utah@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,163a74b4-b10c-4919-8024-c6ceb4e11f70,53.79238,-121.82716,12.17927,5.93423,-7.14231,-12.88385,-1.31644,5.74727,-6.69004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
