PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-05,17:04:45.15,1,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.70178,-1.93482,1.583198,2022.974163,141.31918,10:45,6.22887,-1.02316,6.38218,-21.19304,16.0332,-11.70115,2.68148,-0.54142,77.85268,-6.000232,-0.536816,0.439133,,,,,,,,,,,,6.6202,9.41882,0.91411,50,6.07963,-3.01301,-125.70893,-4.81358,10.36473,30.61617,-17.42772,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,85b99820-db55-11ee-b261-73375668895f,85.83379,,,8.8491,,,,,,,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:04:45.15,2024-03-05T17:04:45.1576598-08:00,2024-03-06T01:04:45.1576598Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,568ebacd-2d07-46df-bc6c-926d24d5d39d,54.11504,-126.70717,15.30809,6.22731,-4.24534,-8.71386,1.01786,-3.35095,5.18237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-05,17:05:00.63,1,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.2624,-2.302115,2.053979,2060.02771,152.681431,11:00,6.2817,-0.92284,6.42986,-18.75025,16.80914,-8.03347,2.60076,0.29637,79.93727,-5.899229,0.598023,0.429189,74.67426,37.391148,-143.201664,4543.070566,,,,,64.88029,,,4.84878,9.87725,0.78002,50,6.10906,-4.27955,-128.04367,-5.64515,7.95172,29.44757,-15.97594,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,8f0533d0-db55-11ee-b261-73375668895f,87.82244,37.7111,,8.32513,,,,1.42469,2.10693,0.05075,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:05:00.63,2024-03-05T17:05:00.6308630-08:00,2024-03-06T01:05:00.6308630Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,99e7f20b-7050-4374-b45a-1ea5d1ac8c04,54.06928,-128.97613,14.72379,6.2798,-5.13927,-7.98797,0.91951,-4.53134,3.97586,,1.42469,-69.67812,3.54662,-1.50035,0.46768,-0.13152,0.03273,-0.00545,0.00013,2.10693,66.50761,-31.89832,4.04037,-0.48894,-0.0271,0.05166,-0.02911,0.00843,0.05075,-52.12273,19.99448,-7.73407,2.29688,-0.62292,0.14817,-0.02125,-0.00087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-05,17:05:19.78,1,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.06991,-1.373725,2.377365,2120.235357,161.789557,11:30,6.45672,-1.00994,6.33301,-15.67674,19.49848,-5.99288,3.88405,0.68102,80.1896,-4.426246,1.294188,0.426864,,,,,,,,,,,,3.84622,10.91091,0.83906,50,6.34871,-5.1109,-129.13086,-3.47165,6.39495,30.72786,-14.03287,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,9a5949b0-db55-11ee-b261-73375668895f,88.30075,,,8.88031,,,,,,,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:05:19.78,2024-03-05T17:05:19.7892886-08:00,2024-03-06T01:05:19.7892886Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,298a69a3-542a-43a6-b402-20f6cff070db,54.16267,-130.11763,15.36393,6.45296,-3.02101,-7.01644,1.00648,-5.31626,3.19748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-05,17:05:35.19,1,4,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,79.10029,0.311284,0.034354,2385.514446,278.18459,3:15,6.30229,-1.17554,5.56842,-44.9268,0.45567,7.13339,2.84918,-0.549,72.3617,-7.919747,1.309019,0.484859,59.78387,32.998082,-52.220397,3835.418854,60.38604,36.27158,-91.94304,178.86372,172.06036,-59.278697,3.174875,-3.60795,0.56335,1.16773,50,6.29957,-0.34575,-114.84712,-0.86911,-4.78972,22.4708,-31.42615,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,a395ca30-db55-11ee-b261-73375668895f,77.73897,37.42782,,6.73859,,,,0.58574,2.67384,0.59927,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:05:35.19,2024-03-05T17:05:35.1994646-08:00,2024-03-06T01:05:35.1994646Z,LineDrive,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,e77a1189-350f-44a8-9457-75dab3747442,54.93246,-115.80818,11.2354,6.308,0.47496,-15.71308,1.17814,-0.14091,-2.39486,138.553219,0.58579,45.04989,-9.527,2.30011,-0.4137,0.06468,-0.0276,0.00943,-0.00107,2.67406,47.74392,-17.54375,0.8161,0.10636,-0.19329,0.09844,-0.02202,0.00182,0.59914,-58.11926,4.70375,-0.77212,0.11208,-0.03405,0.01999,-0.00634,0.0007,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-05,17:05:56.78,1,5,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.45624,-1.881713,2.294184,2296.703817,262.773291,2:45,6.17408,-1.11589,5.95342,-41.61801,1.87177,3.22213,0.95872,1.28147,73.6724,-9.527568,2.873857,0.474641,,,,,,,,,,,,-0.96555,1.90484,0.93153,50,6.00081,-4.79345,-116.70574,-5.14075,-1.3176,24.13291,-29.5747,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,b0a6ab40-db55-11ee-b261-73375668895f,79.41254,,,6.78383,,,,,,,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:05:56.78,2024-03-05T17:05:56.7841046-08:00,2024-03-06T01:05:56.7841046Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,bd30d43f-016c-4ee7-8be8-2d48cc46622f,54.54813,-117.64246,12.06646,6.17807,-3.99281,-14.78735,1.11659,-4.7423,-0.6588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-05,17:06:15.89,1,6,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Upstill, Nick",1000131955,Left,PEP_WAV,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,88.15241,-2.084482,2.804184,2182.553364,148.54212,11:00,6.23079,-1.19868,6.55642,-20.22623,15.24292,-8.5656,2.63085,0.66077,79.90735,-5.955228,1.249273,0.428644,92.04783,-3.416972,-16.556841,,,,,27.94679,26.70151,-18.33341,0.208442,5.35969,9.013,1.0084,50,6.07803,-5.9331,-127.86356,-5.19492,8.77463,29.09456,-17.41845,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,bc05bda0-db55-11ee-b261-73375668895f,87.93408,2.54314,,8.24506,,,,0.56353,2.54314,-0.66574,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:06:15.89,2024-03-05T17:06:15.8941462-08:00,2024-03-06T01:06:15.8941462Z,GroundBall,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,9cbb3b79-4093-4b96-b9fe-5d0d344cab11,53.94238,-128.7575,14.54728,6.22942,-4.65974,-8.70923,1.19484,-6.2027,4.38731,59.226499,0.56498,129.08369,-21.73944,,,,,,,2.54431,-8.12134,-19.62423,,,,,,,-0.66508,-38.44486,-2.59145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-05,17:07:05.79,2,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Nunez, Julian",1000250822,Right,PEP_WAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.83406,-3.556195,3.365988,2039.019204,150.447395,11:00,6.2553,-1.12588,6.64176,-19.01962,16.98308,-8.85595,1.40509,1.22098,79.12291,-7.218862,1.756926,0.431856,,,,,,,,,,,,5.83705,10.55465,0.90191,50,6.00677,-7.14988,-127.13356,-8.38827,9.36304,30.9047,-15.24363,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,d98d4000-db55-11ee-b261-73375668895f,87.28009,,,8.71115,,,,,,,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:07:05.79,2024-03-05T17:07:05.7979158-08:00,2024-03-06T01:07:05.7979158Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,68c7c4f6-ac50-4d14-b4a3-d0ba8943434d,53.85787,-128.06793,15.45235,6.25341,-7.9274,-7.62181,1.12236,-7.43296,4.68152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-05,17:07:23.85,2,2,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Nunez, Julian",1000250822,Right,PEP_WAV,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.73102,-1.704614,2.972473,2043.014821,148.463394,11:00,6.22662,-1.24119,6.31745,-22.67911,13.57859,-7.53327,2.76402,0.87139,79.28151,-6.011805,1.611481,0.433383,,,,,,,,,,,,4.85874,7.98599,1.02695,50,6.09094,-6.30272,-127.16384,-4.4405,7.84287,29.53389,-19.28323,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,e45394d0-db55-11ee-b261-73375668895f,86.97267,,,8.44952,,,,,,,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:07:23.85,2024-03-05T17:07:23.8556950-08:00,2024-03-06T01:07:23.8556950Z,,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,279fbcba-93e9-4c1d-8c00-f04bb3d86bd2,54.18062,-128.13111,14.76695,6.22603,-3.80895,-9.64161,1.23758,-6.55958,3.92144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-05,17:07:42.28,2,3,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Nunez, Julian",1000250822,Right,PEP_WAV,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.93126,-2.125972,2.411695,2168.459177,142.284958,10:45,6.3559,-1.16639,6.35437,-21.00336,15.04832,-10.62453,2.64615,0.16936,79.40922,-6.133711,0.489132,0.43215,92.1448,-13.930353,-42.077039,,,,,12.50234,8.78455,-36.469987,0.082915,6.33083,8.9102,0.99625,50,6.19172,-4.95358,-127.50137,-5.32106,10.2596,30.01448,-17.73437,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,ef849250-db55-11ee-b261-73375668895f,87.22079,2.70325,,8.52204,,,,1.96458,2.70325,-0.12796,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:07:42.28,2024-03-05T17:07:42.2871830-08:00,2024-03-06T01:07:42.2871830Z,GroundBall,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,5952adca-6ddd-48ef-ab0e-2568560a9d99,54.14476,-128.47336,15.00724,6.35473,-4.74675,-8.86719,1.16205,-5.28582,5.1298,180,1.96188,97.56297,,,,,,,,2.70415,-32.60281,,,,,,,,-0.12552,-88.08391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-03-05,17:08:20.51,3,1,"Volmerding, Joshua",1000250725,Left,CAL_MUS,"Bradshaw, Connor",1000094214,Left,PEP_WAV,Undefined,1,Top,1,0,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,80.29952,-0.933978,0.73291,2346.59572,246.037808,2:15,6.35158,-1.26938,5.73056,-39.88423,4.2391,6.0487,2.15791,-0.08271,72.99839,-8.286632,1.81712,0.478085,76.14575,-26.821731,48.978776,,,,,7.12823,3.23824,31.699501,0.0451,-2.87146,2.86323,1.20438,50,6.24913,-1.72125,-116.49933,-3.18134,-3.88897,24.85342,-28.29627,CAL_MUS,PEP_WAV,BaggettStadium,TeamExclusive,Team,20240305-BaggettStadium-Private-1,061ba710-db56-11ee-b261-73375668895f,78.84041,2.27899,,7.30113,,,,3.10645,2.27899,0.34497,33022651-bbaf-4008-a893-d356eefdbe86,2024-03-06,01:08:20.51,2024-03-05T17:08:20.5111062-08:00,2024-03-06T01:08:20.5111062Z,GroundBall,v3,471251,471410,,"Stafford, Ryan",701696,Right,CAL_MUS,5b966a96-dfdb-4bfa-8068-16fabe890325,54.76972,-117.51248,12.42671,6.35531,-2.02785,-14.14813,1.27131,-1.56272,-1.94448,,3.10513,65.59515,,,,,,,,2.28,-50.53143,,,,,,,,0.34346,75.40216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
